PRECINCT,POP_AGE18_24,POP_25OVER,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACEHISPANIC,SQF_RACEWHITE,SQF_SEXM,SQF_SEXF,SQF_SEXZ,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,POP_Adult,POP_Male,POP_Female,UNDERHS_ALL,GRAD_ALL,COLLEGE_ALL,BACHELORS_ALL,POP_AGE18_24,POP_25OVER,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
25,39877,257283,210,20886,8631,1017,28846,2440,776,3645,9930,7918,4837,5339,254,9820,11602,13167,5604,297160,143527,152269,90704,73869,48377,37323,39877,257283,9820,11602,13167,5604,5175,6130,6327,2337,4553,5472,6840,3620,40442,47578,62267,35210,31719,16843,25330,31194,15583,14522,20858,21316,29066,19129,17159
26,152464,360803,154,11798,4294,732,15737,1567,145,3425,5404,3341,2187,2713,280,5349,24884,90144,31530,513267,230767,282500,47401,74559,130542,111366,152464,360803,5349,24884,90144,31530,3240,9154,33636,14663,2331,15731,56513,18943,21026,21523,49675,40398,79836,7646,9538,22840,20033,35116,12836,11783,25808,19751,43412
28,78556,535941,145,21226,3656,668,23651,2289,171,3347,7551,5926,3842,5045,281,15612,21775,26275,14363,614497,277346,337151,93512,131899,97716,123325,78556,535941,15612,21775,26275,14363,7869,11831,11279,7293,7878,9944,14996,8383,38950,54838,110124,71441,108962,15789,24521,48632,32179,46155,19512,29639,59013,38073,61676
30,87489,536936,221,9881,10741,626,20398,1436,690,2836,8408,5937,2701,2439,135,14544,19103,34528,19682,624425,296645,327780,179062,127059,114986,106872,87489,536936,14544,19103,34528,19682,8235,12387,17373,7797,6238,6716,17154,13382,82259,64549,107956,80458,87190,35851,28929,51936,36684,40020,45690,34875,53164,42160,46960
32,84348,583423,228,34157,3871,563,35566,3571,355,7283,13996,8582,4160,4791,459,20356,21550,29574,12809,667771,291407,376364,125474,152230,127623,109106,84348,583423,20356,21550,29574,12809,10022,11394,13142,5866,10029,10157,16431,7763,52559,65788,130680,98049,96297,20927,28930,56747,39510,41906,26411,36062,71048,56944,55363
33,99167,660131,102,4301,12737,721,17257,1016,156,2257,6608,5070,2172,2096,124,19978,18846,36678,23746,759298,375872,383426,262358,131633,126785,142689,99167,660131,19978,18846,36678,23746,11162,11215,15497,9865,8758,7634,21182,15487,121190,76954,112787,90107,118943,52170,39736,58212,49236,53397,66988,35832,51496,38571,64250
34,164210,1090689,136,3417,26281,1308,31257,1813,782,3823,13118,9994,3835,2790,166,30260,31730,73621,27457,1254899,604017,650882,393994,223711,224453,215861,164210,1090689,30260,31730,73621,27457,17266,19146,39880,12582,13252,12587,33740,17506,181867,124525,191981,150832,188404,83310,55330,92309,73654,84327,98728,67399,94780,73491,102567
40,129103,647139,224,31524,27975,740,56421,4949,544,10030,22282,14831,7447,6816,288,37872,37262,46504,6806,776242,349461,426781,305524,208001,141788,56401,129103,647139,37872,37262,46504,6806,19191,21638,19889,2028,18079,15623,26613,5133,133826,127725,170739,95284,49595,58359,51770,80734,37915,20423,71401,73964,86005,55635,31292
41,82468,416441,162,13090,15874,544,27603,2655,1396,5905,11797,7581,3531,2664,108,25844,24842,28812,4481,498909,234521,264388,204560,129754,93987,38020,82468,416441,25844,24842,28812,4481,13824,14535,14722,2114,11116,10307,14090,2551,89358,74933,104912,65175,33539,40032,33689,49338,27034,12817,44368,40327,52623,37076,22533
42,120444,605202,170,22506,12389,302,33063,2754,1218,6782,14310,8498,3766,3309,136,36098,35330,42648,4894,725646,314558,411088,262438,194554,144039,54223,120444,605202,36098,35330,42648,4894,17857,18628,19407,1847,17571,16702,23241,3409,113170,113405,159224,101391,49329,45281,43638,74780,38270,18281,61580,68000,79442,61822,33294
43,206363,1265857,475,20844,20879,792,40132,3597,1420,6271,17379,11426,5305,4326,207,53040,55549,79780,16573,1472220,671473,800747,440464,390657,293779,152362,206363,1265857,53040,55549,79780,16573,27600,29207,36996,6868,24769,26342,42783,10742,193712,181164,335108,213999,135789,81272,82000,156170,91603,55942,95892,97183,170537,118063,85022
44,218012,1202890,209,25857,22963,646,48232,2411,1376,9420,20636,12096,5173,4330,142,58934,59431,86920,12533,1420902,644765,776137,522334,368513,280618,122772,218012,1202890,58934,59431,86920,12533,30766,33316,38397,5512,27141,26115,48522,7926,231700,192049,309082,193698,110239,92627,84809,138898,83927,50495,130113,104749,162252,106260,64453
