YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2012,1,255,2783,15,201,1671,20,111,411,12,583,0,44,140,615,814,607,832,40,5440,2393,3047,39062,19108,19954,158,602,2272,2406,72,258,1034,1029,86,345,1238,1378,900,810,1954,3162,1184,299,310,904,1594,1184,593,504,1045,1563,1184
2012,5,343,2388,51,351,1066,12,200,529,54,454,0,116,334,768,621,426,571,59,5111,2659,2452,30902,15552,15350,636,966,1811,1697,540,514,998,607,96,453,813,1090,7345,2710,5350,2718,794,3143,1305,2460,1590,794,4210,1407,2885,1132,794
2012,6,271,3277,89,80,2171,17,137,553,14,566,0,99,165,1023,1025,649,713,45,5326,1960,3366,46687,22257,24430,76,1003,2149,2097,65,483,776,636,11,521,1373,1461,316,540,2453,3379,1095,134,367,969,1591,1095,182,177,1480,1784,1095
2012,7,179,3280,42,98,1405,8,280,1205,51,423,0,31,411,1128,1015,466,446,28,5228,2481,2747,48668,22330,26338,815,1318,2128,967,397,757,912,415,418,562,1215,552,13134,6099,10449,5155,1935,5345,3330,4649,2550,1935,7779,2769,5796,2611,1935
2012,9,438,4705,139,143,1824,14,407,1624,86,1071,0,113,461,1789,1382,757,820,69,14037,5929,8108,57527,28964,28563,856,3271,5574,4334,544,1502,2247,1637,312,1767,3330,2698,4862,3890,7712,5797,1557,2033,1814,4046,3371,1557,2829,2084,3657,2424,1557
2012,10,186,2186,34,65,1305,12,94,440,45,416,0,29,121,546,686,457,541,25,4890,1781,3109,32574,17354,15220,313,956,1978,1642,140,300,621,720,173,656,1357,923,1209,1219,2677,3170,1420,480,647,1610,1641,1420,728,580,1065,1540,1420
2012,13,388,3421,21,102,1783,20,195,881,10,794,0,45,249,945,958,694,922,54,14969,5203,9766,78605,38039,40566,260,2267,4863,7580,110,872,1278,2943,150,1394,3583,4637,1521,1578,5375,7356,2524,537,911,2753,3857,2524,986,669,2621,3501,2524
2012,14,950,7934,61,329,4925,36,373,1506,80,1559,0,137,453,1951,2246,1613,2497,175,2046,800,1246,17727,8837,8890,47,133,582,1284,27,78,145,550,20,55,437,734,534,632,1699,2177,511,198,417,755,1012,511,337,213,940,1167,511
2012,17,174,1100,57,68,503,4,62,296,11,302,0,85,71,323,375,225,307,28,6537,2404,4133,52229,24326,27903,63,505,1228,4742,40,267,202,1895,23,238,1026,2846,271,529,2818,4457,1738,46,253,1089,1751,1738,219,285,1726,2700,1738
2012,18,315,2647,16,80,1520,9,173,642,26,493,0,35,219,761,741,490,725,40,5986,2503,3483,52935,27444,25491,323,766,1737,3160,247,437,598,1221,76,329,1139,1939,1865,1537,5358,5485,1938,815,789,2695,2731,1938,1048,750,2657,2749,1938
2012,19,513,4069,70,187,1665,17,373,1280,23,997,0,110,366,1167,1226,830,1006,53,12251,4620,7631,168717,73563,95154,604,1055,3102,7489,312,441,1409,2458,292,614,1694,5031,3043,3322,11804,13716,4878,1231,1508,4813,5472,4878,1807,1815,6972,8231,4878
2012,20,416,2836,14,164,1322,12,251,684,35,779,0,19,416,778,782,520,723,42,4059,2341,1718,77905,36593,41312,136,847,948,2128,62,584,479,1216,74,263,469,912,1180,1443,5361,6354,1679,383,733,2474,3106,1679,805,699,2884,3244,1679
2012,22,66,525,1,28,258,4,42,143,3,114,0,0,134,202,104,64,83,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
2012,23,721,10241,133,130,6861,31,883,2718,47,242,0,183,2420,4026,2126,1141,1251,114,10836,5814,5022,56934,24850,32084,3011,2344,3478,2003,1956,1301,1489,1068,1055,1043,1989,935,7911,8272,13876,6942,2956,3153,3509,6509,3023,2956,4757,4768,7377,3925,2956
2012,24,398,3804,16,89,2069,11,462,1067,31,459,0,30,548,1215,849,597,924,80,8763,3515,5248,82631,36995,45636,913,1527,2803,3521,504,736,1243,1032,409,791,1559,2489,3938,3848,7676,8175,2631,1669,1606,3467,3589,2631,2252,2250,4206,4598,2631
2012,25,500,5734,139,53,4216,13,391,1282,30,206,0,182,698,1924,1639,933,1100,74,3847,1754,2093,19280,9220,10060,1030,1061,1392,364,517,462,675,100,513,599,717,264,3638,4143,4650,2389,625,1697,2321,2266,1094,625,1939,1820,2387,1294,625
2012,26,519,4899,70,56,3718,10,374,915,31,216,0,168,1053,1809,1109,616,774,117,12809,4809,8000,29964,13404,16560,656,2171,7863,2120,434,807,2836,732,220,1364,5027,1387,2127,1886,4732,2941,1114,960,733,2271,1498,1114,1174,1151,2467,1442,1114
2012,28,629,6047,31,54,5308,11,255,800,23,211,0,45,838,1956,1498,975,1362,71,7105,3597,3508,40550,17210,23340,1531,1696,2307,1571,976,827,1060,734,555,869,1247,837,2752,4622,8741,6371,2328,1140,1982,3885,2726,2328,1615,2641,4847,3645,2328
2012,30,430,5625,114,79,2759,21,1072,1888,30,164,0,156,733,2233,1614,803,738,44,8084,4044,4040,42366,19357,23009,1639,2002,2814,1628,989,1385,1248,422,650,617,1566,1207,7742,5199,8911,7171,2392,3397,2363,4531,3311,2392,4349,2839,4376,3869,2392
2012,32,1030,9543,191,60,9113,13,321,822,19,172,0,244,1823,3829,2421,1131,1375,163,7924,3750,4174,45301,19404,25897,2070,2263,2492,1098,1034,1325,1044,347,1036,938,1449,751,4020,5501,10466,8643,3479,1598,2411,4750,3654,3479,2418,3087,5722,4988,3479
2012,33,207,3407,6,23,794,7,913,1606,96,161,0,20,449,1256,977,423,481,28,9643,4559,5084,55931,27947,27984,2235,2198,3061,2149,1291,1462,1310,496,943,738,1750,1654,11585,7340,10284,8579,2459,5126,3602,5233,5402,2459,6453,3736,5046,3176,2459
2012,34,504,8756,415,48,871,25,3244,4371,72,384,0,660,1066,3660,2978,1099,814,50,14819,8325,6494,83145,38400,44745,3199,2792,6614,2213,2196,1655,3469,1004,1006,1137,3142,1209,14539,10436,15708,12382,4054,6771,5148,7411,5581,4054,7775,5272,8297,6799,4054
2012,40,1545,16632,99,80,9284,27,1996,6388,157,220,0,124,3122,6650,4189,2190,2028,80,11246,5541,5705,50709,21890,28819,3704,3626,3682,234,2019,1979,1481,62,1685,1647,2201,172,11701,10776,13520,7197,2667,5652,4549,6315,2777,2667,6051,6228,7208,4415,2667
2012,41,912,7363,336,73,3590,29,1152,3178,25,173,0,391,1628,3101,2084,1043,726,22,6867,3563,3304,32466,14173,18293,2721,1838,2084,224,1479,1001,970,113,1242,837,1114,111,7122,7179,8188,4884,1919,3519,3090,4114,1753,1919,3606,4087,4076,3129,1919
2012,42,627,6926,208,43,4828,19,683,1897,8,77,0,206,1513,3102,1708,709,691,28,10584,5259,5325,45022,18111,26911,4062,2884,3335,303,2160,1489,1510,100,1902,1395,1825,203,9146,9396,12342,7773,2595,3929,3291,5657,3112,2595,5222,6104,6680,4664,2595
2012,43,922,9562,171,112,5114,59,1157,3665,70,225,0,253,1299,4169,2730,1308,1092,41,17361,8251,9110,102603,46017,56586,5145,4318,6803,1095,2624,2351,2808,468,2521,1967,3995,627,15126,15980,28777,18126,7466,7191,7491,13872,7943,7466,7937,8476,14914,10175,7466
2012,44,783,14424,207,96,7525,44,2160,4761,250,237,0,341,2873,6108,3465,1522,1366,51,18320,9529,8791,96208,43279,52929,5743,4691,6928,958,3395,2630,3084,420,2348,2061,3844,538,20247,15665,25237,17149,6262,8725,7017,12365,7669,6262,11531,8654,12878,9481,6262
2012,45,305,3608,82,67,1505,17,350,1161,40,752,0,103,841,1434,826,445,420,24,11778,6588,5190,90302,40676,49626,1613,2954,5604,1607,1056,1757,3087,689,557,1196,2518,919,7895,9163,27330,18240,6408,2825,4218,13168,8836,6408,5080,4935,14150,9396,6408
2012,46,349,5264,15,35,2461,13,838,2168,6,64,0,43,620,2266,1541,717,471,7,12889,6807,6082,58853,26822,32031,4286,3748,4321,536,2622,2227,1793,165,1663,1520,2528,371,12290,10665,16089,9237,4295,5823,4487,8141,4400,4295,6462,6182,7948,4831,4295
2012,47,609,8161,178,86,6647,29,427,1327,18,204,0,210,1758,3475,2287,781,604,33,17356,8647,8709,102505,43028,59477,3574,4038,7861,1884,2061,2109,3840,637,1513,1929,4020,1247,9665,12094,29737,19924,8537,4291,5380,13695,8719,8537,5363,6715,16040,11207,8537
2012,48,385,4725,320,39,2295,18,661,1863,43,197,0,314,888,2034,1400,602,480,16,11770,5473,6297,48055,20680,27375,4009,3077,4323,360,1941,1671,1738,123,2068,1406,2585,238,10023,9022,12919,7796,2907,4152,3655,6254,3391,2907,5875,5359,6667,4415,2907
2012,49,341,5425,12,94,2682,35,485,1569,18,741,0,154,1241,2497,1206,443,377,9,9985,4776,5209,73796,33994,39802,1724,2687,4532,1042,989,1450,1949,388,735,1237,2583,654,9743,8692,20508,11899,5283,4355,4458,9884,5724,5283,5384,4238,10628,6174,5283
2012,50,165,1653,14,32,527,9,279,752,22,188,0,23,393,636,368,201,213,13,10651,5289,5362,68722,30186,38536,1466,2220,5392,1574,954,1277,2301,757,512,943,3091,816,6159,6065,14398,11085,3985,2597,2661,6100,5360,3985,3559,3408,8302,5720,3985
2012,52,551,9165,95,82,3098,25,1842,4147,202,271,0,144,1878,3801,2310,995,791,20,19875,9454,10421,87142,38909,48233,5248,4713,8997,917,2912,2442,3831,269,2336,2271,5165,650,14389,13527,24640,14811,5019,6301,6108,11606,6907,5019,8094,7430,13041,7899,5019
2012,60,514,7107,164,172,3633,54,313,1569,35,1839,0,170,1271,2926,1878,867,808,32,8677,4399,4278,76415,34129,42286,1547,2258,3538,1334,995,1163,1685,556,552,1095,1853,778,7910,9407,22254,9006,5809,3365,4456,10343,4005,5809,4550,4954,11914,5008,5809
2012,61,287,6396,7,271,1734,3,176,1058,26,3417,0,5,1243,2854,1495,551,521,18,12963,6851,6112,114217,53102,61115,1042,3057,6440,2424,552,1594,3741,964,490,1463,2699,1460,8856,8749,33616,14744,8700,4081,4050,14773,7394,8700,4779,4714,18841,7351,8700
2012,62,215,4251,5,452,386,37,179,1159,31,2225,0,2,928,1720,1074,473,257,13,15856,8102,7754,129295,61927,67368,2024,3581,7394,2857,1277,1782,3634,1409,747,1799,3760,1448,20044,17965,41679,13530,7932,9075,9374,19571,6850,7932,10974,8584,22106,6681,7932
2012,63,217,3445,1,41,2764,2,63,171,42,574,0,6,608,1538,975,354,175,7,11312,5719,5593,74923,33339,41584,1158,2285,6405,1464,709,1287,3271,452,449,998,3134,1012,3483,5050,22830,13671,7079,1451,2434,10985,6359,7079,2034,2615,11845,7313,7079
2012,66,254,3124,57,395,368,27,315,1322,102,834,0,72,408,1180,937,486,391,24,17463,9326,8137,91620,44689,46931,3212,5107,6538,2606,2082,2291,3939,1014,1130,2816,2599,1592,12109,10115,28620,12437,5347,6015,5384,13097,6299,5347,6093,4737,15514,6139,5347
2012,67,636,10111,85,148,10139,11,89,240,19,90,0,96,1500,3906,3103,1292,966,47,14391,6746,7645,91210,38594,52616,2507,3591,7270,1023,1452,1856,3113,325,1055,1735,4157,698,6092,7822,33218,18499,7594,2470,3673,15069,7681,7594,3623,4154,18139,10821,7594
2012,68,117,2436,4,169,149,30,78,581,9,1541,0,0,302,1219,554,273,195,6,11608,6239,5369,96215,45363,50852,1882,2034,5154,2538,1150,1256,2825,1008,732,778,2329,1530,11549,8413,24284,12563,4928,5130,4065,11431,6410,4928,6416,4338,12850,6162,4928
2012,69,254,5111,4,54,4843,14,103,247,5,102,0,1,783,2172,1328,555,498,28,9815,4935,4880,57100,24034,33066,1564,2466,4771,1014,808,1515,2339,273,756,951,2432,741,3574,5038,17601,11426,5531,1414,2254,8406,4715,5531,2165,2782,9196,6714,5531
2012,70,787,10026,435,259,8056,48,230,1368,18,824,0,445,1917,4148,2853,1259,923,118,17905,8637,9268,105018,47809,57209,2660,4751,8100,2394,1498,2626,3582,931,1162,2125,4518,1463,10124,9774,29678,17353,6322,4604,4758,13057,8538,6322,5528,5017,16616,8819,6322
2012,71,258,4417,1,37,4202,6,70,188,8,163,0,2,765,1781,1195,471,444,14,11075,5734,5341,59958,25892,34066,1700,2703,5348,1324,941,1434,2692,667,759,1269,2656,657,5434,6342,17776,11751,4232,2434,2919,7597,5291,4232,2997,3420,10177,6463,4232
2012,72,168,5021,10,267,488,18,585,3307,69,431,0,34,931,1871,1350,608,417,17,13847,7379,6468,85222,43369,41853,3591,2536,5237,2483,2353,1353,2560,1113,1238,1183,2677,1370,20362,12665,17139,8270,3790,10127,6570,9186,4867,3790,10230,6099,7951,3398,3790
2012,73,2125,19620,403,177,19067,16,490,1713,37,201,0,447,4762,7238,5052,2453,2518,91,10324,4664,5660,55240,21029,34211,3136,3088,3598,502,1768,1439,1221,236,1368,1649,2377,266,5033,9549,20563,9806,3860,1894,3664,8653,3765,3860,3143,5884,11916,6039,3860
2012,75,1863,22055,490,356,17884,91,1052,3997,58,419,0,551,4675,8512,5765,2699,2597,137,22826,11027,11799,108455,43809,64646,5836,8782,7202,1006,2963,4652,2968,444,2873,4130,4234,562,11895,16462,42315,17677,6479,4905,7214,18738,6338,6479,6999,9246,23567,11342,6479
2012,76,499,3977,4,107,2168,15,309,1065,122,673,0,21,621,1401,980,633,814,31,2464,1159,1305,29264,13276,15988,523,510,723,708,307,322,354,176,216,188,369,532,1851,1926,4274,3011,1171,739,770,1982,1415,1171,1112,1155,2290,1589,1171
2012,77,822,9077,35,83,8703,22,143,595,16,321,0,51,1427,3053,2544,1289,1523,82,9053,4591,4462,55751,23615,32136,1875,2235,3419,1524,1119,1447,1499,526,756,788,1920,998,4553,6815,15859,9754,3085,1860,2971,7151,3959,3085,2689,3849,8710,5803,3085
2012,78,262,2908,111,48,1522,14,173,892,46,462,0,124,540,878,689,536,603,29,6870,2702,4168,68977,32546,36431,683,905,2145,3137,331,398,993,980,352,507,1152,2157,2563,3693,7300,6617,2300,1185,1869,3122,3572,2300,1379,1833,4178,3046,2300
