YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
2007,1,144,1737,6,55,1193,9,63,329,10,214,0,14,93,436,408,496,439,14
2007,5,250,2552,31,479,989,15,199,708,12,316,0,115,307,819,683,514,478,32
2007,6,178,2843,88,55,1800,5,114,447,0,544,0,144,171,878,822,671,547,20
2007,7,390,4487,58,208,1672,11,481,1975,2,454,0,132,540,1763,1360,734,492,44
2007,9,287,3826,42,73,1413,3,319,1480,5,786,0,76,445,1315,1155,673,521,45
2007,10,239,3116,82,121,1486,16,211,865,2,633,0,103,209,1047,1012,608,496,65
2007,13,263,3928,59,131,2032,15,269,959,12,734,0,98,329,1108,1136,884,733,58
2007,14,671,8817,213,201,5496,26,427,1967,3,1224,0,357,457,2254,2286,2263,2302,136
2007,17,120,1463,34,82,592,9,106,347,2,430,0,49,55,336,491,371,339,23
2007,18,243,2234,93,81,1229,16,142,516,0,457,0,129,176,524,633,582,612,43
2007,19,553,5938,407,297,2240,38,435,1614,13,1812,0,449,565,1456,1807,1507,1476,84
2007,20,400,2816,143,123,1220,25,225,724,1,790,0,251,399,689,825,717,680,49
2007,22,62,728,56,8,408,0,59,182,1,127,0,61,301,212,116,130,81,6
2007,23,1009,13711,468,72,7760,27,1092,4982,7,526,0,722,1992,5328,3855,2155,1730,127
2007,24,358,4236,119,51,2248,8,501,1164,0,449,0,292,493,987,904,1104,1131,93
2007,25,503,7194,218,30,4686,13,591,2006,4,244,0,341,712,2194,1994,1630,1332,52
2007,26,381,3873,66,25,2970,5,250,741,1,188,0,140,668,1088,934,722,806,102
2007,28,540,5555,315,19,4995,7,187,561,0,203,0,438,662,1781,1501,1303,1125,37
2007,30,356,6264,591,18,2658,14,1336,2315,3,173,0,694,732,2408,2092,1115,768,96
2007,32,778,9035,121,23,8287,7,358,857,1,179,0,222,1126,3103,2557,1467,1285,395
2007,33,202,4177,390,12,953,6,1153,2046,1,182,0,416,497,1810,1371,579,428,84
2007,34,320,6354,43,25,911,11,2064,3323,0,303,0,80,744,2835,1921,705,453,59
2007,40,1041,11224,397,23,5614,23,1153,4746,1,279,0,823,1587,4071,3315,2034,1306,344
2007,41,254,2976,156,5,1332,3,345,1411,2,93,0,195,483,1160,880,487,357,19
2007,42,576,6704,203,13,4523,1,617,1920,4,99,0,306,922,2699,1935,1104,755,65
2007,43,780,8067,104,37,4351,33,933,3195,5,171,0,226,1137,3226,2360,1283,826,116
2007,44,410,6958,629,16,3657,9,842,2592,23,149,0,709,1074,2984,2222,1058,621,35
2007,45,202,2270,163,33,784,15,183,720,13,699,0,188,579,973,516,329,228,9
2007,46,385,5323,360,24,2691,9,780,1937,0,93,0,534,776,2387,1594,795,499,15
