YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
2005,1,92,1231,95,60,685,8,44,234,0,279,0,108,83,277,320,335,311,15
2005,5,222,2131,140,417,808,1,125,700,0,269,0,173,427,703,557,378,296,16
2005,6,162,1895,153,31,1085,3,62,422,0,467,0,140,185,637,583,421,270,7
2005,7,278,2612,165,204,937,10,174,1217,0,293,0,220,373,1113,752,398,277,15
2005,9,292,3165,184,74,1190,16,255,1191,0,732,0,183,344,1099,898,674,429,18
2005,10,296,3303,266,99,1651,12,179,943,0,693,0,288,332,1178,944,686,472,29
2005,13,136,2216,193,78,1057,3,134,526,1,447,0,299,239,642,628,519,387,24
2005,14,478,5856,439,169,3524,34,237,1341,0,938,0,530,295,1461,1679,1748,1214,46
2005,17,44,647,39,39,282,4,20,126,0,210,0,49,33,169,218,161,105,7
2005,18,185,1477,178,54,764,4,84,380,0,316,0,238,131,513,466,367,245,13
2005,19,288,2968,144,109,1178,5,173,773,0,1022,0,140,296,740,798,723,587,37
2005,20,281,1902,263,63,834,3,139,481,0,625,0,301,258,474,514,530,469,27
2005,22,89,935,153,5,480,0,105,244,0,166,0,177,439,254,141,180,108,4
2005,23,752,8980,830,28,4756,13,860,3687,0,270,0,948,1522,3492,2250,1411,915,30
2005,24,151,1691,84,10,1037,1,166,432,0,117,0,163,254,452,354,428,337,14
2005,25,332,3841,316,29,2198,3,258,1469,0,145,0,387,508,1239,1041,826,541,28
2005,26,509,4907,118,41,3809,7,370,912,2,237,0,156,738,1533,1204,989,726,43
2005,28,360,4633,738,11,4258,1,160,467,0,141,0,693,589,1393,1190,1222,780,33
2005,30,230,5089,708,13,2080,10,1169,1698,0,119,0,938,677,2069,1645,854,381,9
2005,32,401,3976,311,7,3578,3,173,427,0,69,0,431,502,1479,1142,706,500,69
2005,33,195,3234,646,13,786,2,943,1396,0,128,0,807,418,1438,920,494,277,13
2005,34,156,3315,397,21,635,5,1222,1368,0,122,0,495,478,1481,936,377,248,9
2005,40,1043,10881,1125,21,5511,7,1134,4802,30,174,0,1370,1646,4349,2920,1779,1194,61
2005,41,295,3563,12,6,1474,1,503,1785,0,88,0,13,526,1289,979,650,397,15
2005,42,397,4285,428,5,2943,1,402,1204,0,53,0,502,702,1790,1164,800,427,14
2005,43,290,3454,360,15,1776,6,353,1425,0,84,0,445,571,1439,924,505,304,17
2005,44,212,4380,575,14,2239,8,547,1572,0,73,0,714,830,1949,1108,595,364,21
2005,45,107,1490,199,11,680,4,76,458,0,359,0,208,390,613,247,188,106,7
2005,46,234,3823,6,18,1937,9,451,1564,0,76,0,8,574,1588,1011,575,276,10
2005,47,341,3014,392,9,2478,3,135,562,0,86,0,474,524,1411,700,475,282,14
2005,48,135,1766,166,2,736,1,174,796,0,89,0,269,276,761,433,310,165,9
2005,49,146,2532,91,39,1298,4,238,753,0,344,0,93,629,1163,461,212,161,6
2005,50,96,2315,182,20,607,5,379,1088,0,293,0,201,447,1042,476,230,132,10
2005,52,202,2678,305,34,938,8,352,1359,0,116,0,378,616,1168,621,334,187,7
