YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
2006,1,113,1837,17,89,1145,13,64,318,0,322,224,16,112,377,467,475,472,64
2006,5,242,3102,34,540,1318,11,184,818,0,405,119,102,433,919,748,679,527,72
2006,6,182,2340,75,43,1462,8,89,357,0,509,359,129,172,731,761,529,356,48
2006,7,284,3871,52,157,1571,12,386,1477,0,446,226,158,513,1424,1148,637,452,33
2006,9,346,3992,112,95,1613,5,303,1499,0,783,565,152,484,1307,1094,886,637,42
2006,10,229,2840,58,71,1508,7,166,797,0,503,637,75,264,985,876,601,369,32
2006,13,243,3017,47,90,1621,6,194,804,0,518,372,74,442,888,800,652,495,30
2006,14,629,9047,207,202,5805,23,429,1961,0,1127,697,336,472,2170,2411,2496,2173,161
2006,17,148,1241,40,81,471,5,70,296,0,434,99,72,89,314,432,334,248,12
2006,18,304,2437,177,83,1401,11,115,600,0,500,280,208,194,750,703,613,549,109
2006,19,450,5627,308,262,2164,21,388,1576,0,1536,273,438,572,1417,1542,1539,1174,141
2006,20,365,3053,166,113,1357,12,201,811,0,870,402,220,433,728,817,836,717,53
2006,22,54,612,65,9,325,2,51,172,0,95,38,77,262,117,110,140,81,21
2006,23,1365,14815,472,85,8260,21,1250,5758,0,545,136,733,2383,5935,3757,2480,1926,171
2006,24,348,3321,45,20,2040,3,332,858,0,309,116,152,461,806,671,910,790,76
2006,25,306,4824,220,14,3128,3,335,1370,0,187,134,313,579,1446,1318,1169,810,28
2006,26,565,4669,68,23,3703,6,341,881,0,219,85,129,698,1304,1119,1108,937,136
2006,28,1038,10248,634,29,9338,12,331,1080,0,314,56,816,1036,3247,2877,2617,2033,110
2006,30,191,4424,440,15,2150,9,975,1229,0,113,104,564,453,1765,1539,780,456,62
2006,32,917,11563,358,25,10341,12,440,1118,0,247,88,655,1423,4363,3451,1753,1414,434
2006,33,152,4049,268,11,1121,10,1018,1638,0,168,110,503,511,1668,1255,593,404,38
2006,34,271,6727,284,23,1037,1,2412,3086,0,256,112,467,907,3088,2067,744,436,40
2006,40,1362,13593,526,19,6962,21,1526,5753,0,223,104,977,2098,4970,3932,2394,1653,434
2006,41,219,3412,67,6,1542,6,391,1580,0,97,55,76,614,1281,881,566,345,11
2006,42,586,6489,315,7,4178,8,700,1875,0,93,44,529,1140,2597,1746,1029,759,119
2006,43,832,8851,101,39,5015,27,845,3287,0,199,69,372,1469,3606,2470,1401,791,47
2006,44,420,8269,519,22,4150,9,1124,3058,0,136,62,709,1511,3669,2272,1072,646,38
2006,45,183,2207,161,27,874,14,156,740,0,551,323,189,578,1013,492,256,203,9
2006,46,271,4754,174,12,2340,8,624,1879,0,83,49,253,800,2079,1292,678,332,18
2006,47,496,6444,200,22,5249,16,256,1032,0,198,134,367,1067,2884,1624,915,624,26
2006,48,306,4560,1,19,2065,2,453,2147,0,177,65,4,546,1633,1212,795,505,176
2006,49,300,3855,29,87,1920,11,275,1227,0,498,301,166,1110,1631,729,406,271,37
2006,50,150,2619,82,20,713,5,409,1247,0,349,293,108,570,1321,521,257,174,8
2006,52,199,3167,105,30,1157,2,396,1508,0,154,115,224,565,1357,795,450,223,81
2006,60,326,4953,178,110,2432,18,172,1281,0,1230,633,214,1075,1975,1154,765,403,85
2006,61,326,5573,71,158,1580,11,106,719,0,3204,1112,192,1813,2329,984,449,325,70
2006,62,272,4899,44,221,396,28,114,1128,0,3200,777,128,1153,1861,1171,636,353,41
2006,63,193,3119,12,42,2218,7,47,173,0,797,722,40,703,1472,711,269,158,11
2006,66,186,3404,14,254,466,41,160,1486,0,1084,904,113,729,1407,760,408,270,30
2006,67,125,6109,24,16,5923,0,69,69,3,147,62,34,876,2583,1631,542,308,318
2006,68,170,1817,8,55,168,17,52,509,0,1163,598,31,418,731,435,229,167,15
2006,69,331,5574,217,23,5126,3,116,386,1,194,121,274,1208,2666,1206,596,378,68
2006,70,524,8751,12,171,7058,20,273,1066,0,677,229,22,1691,3695,2149,825,554,373
2006,71,172,3939,83,14,3755,2,75,163,0,70,44,115,638,1595,1091,494,367,9
2006,72,278,4403,235,333,585,22,366,2763,0,541,223,306,790,1494,1311,812,460,49
2006,73,2701,22663,930,25,22509,16,517,1730,0,339,129,1158,5911,8566,5585,3611,2426,195
2006,75,2774,25915,942,322,20658,125,1356,5082,2,848,974,1240,4310,9489,7084,4588,3163,997
2006,76,380,3548,32,68,1789,8,240,1140,0,575,306,140,502,969,789,912,712,76
2006,77,465,7860,205,16,7498,7,150,445,0,138,152,276,1153,2651,2029,1460,1175,62
2006,78,199,2384,179,27,1391,11,155,595,0,388,233,195,562,764,590,470,362,14
2006,79,1565,13166,1134,78,11859,29,465,1543,0,456,115,1435,1658,4029,3688,3296,2859,335
2006,81,226,5183,79,10,4879,4,119,303,2,80,49,93,1071,2007,1195,685,502,28
2006,83,292,5233,220,41,2111,9,376,2639,0,196,268,373,961,1895,1467,872,530,20
2006,84,441,3178,27,48,2489,17,122,559,0,362,172,49,628,975,803,678,467,95
2006,88,608,5733,233,33,5047,9,229,624,0,308,172,324,960,1723,1337,1309,1128,117
2006,90,393,7516,439,78,2344,20,944,3617,0,743,482,602,1133,2464,2034,1564,1084,69
2006,94,149,2679,106,56,556,10,178,737,0,1235,525,162,313,827,838,545,396,15
2006,100,153,2247,2,24,1566,1,47,308,0,456,554,0,548,902,424,310,206,12
2006,101,363,7321,190,27,6367,9,168,827,0,210,125,266,1767,3240,1626,747,460,34
2006,102,232,4003,4,786,886,34,297,1711,0,517,464,8,1016,1691,870,415,235,12
2006,103,1444,17918,101,789,14095,294,589,2941,1,558,544,197,3756,6591,4898,2512,1607,99
2006,104,526,7072,33,224,739,48,477,3664,0,2339,1189,140,1296,2935,1848,918,602,32
2006,105,583,9692,697,570,7680,131,199,991,0,573,240,828,1538,4352,2718,1269,806,289
2006,106,285,5216,21,1987,1641,61,149,1001,1,646,587,37,1069,2037,1221,673,453,69
2006,107,430,5461,337,598,2447,202,176,1271,0,1047,821,487,1292,2296,1288,667,525,160
2006,108,249,5023,49,551,574,31,311,2758,0,974,650,122,756,1596,1360,923,664,22
2006,109,394,6024,25,1178,1115,21,296,2363,0,1298,901,172,1204,2538,1410,725,542,24
2006,110,324,6829,299,430,806,28,517,4767,0,561,211,343,1349,3071,1637,785,440,170
2006,111,288,4291,37,764,720,55,175,1264,0,1511,697,127,844,1660,1004,586,498,24
2006,112,149,2665,76,211,474,13,138,721,0,1188,1127,145,572,1111,619,328,238,22
2006,113,321,4582,7,39,4583,8,61,142,0,67,51,10,539,1772,1361,690,516,31
2006,114,649,8445,305,288,4434,62,222,2395,0,1562,891,436,1427,3217,2453,1328,929,45
2006,115,260,8693,673,233,716,44,598,6786,0,378,298,871,1086,3850,2882,1048,510,250
2006,120,1092,8756,106,59,5506,16,428,1936,0,1881,1096,128,1545,3808,2460,1361,740,40
2006,122,742,5474,60,110,1063,24,121,686,0,4151,1635,121,1586,2402,1151,655,434,48
2006,123,195,2585,3,20,173,5,9,128,0,2444,918,4,826,1216,406,211,118,6
