YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2014,1,12,76,0,0,48,0,12,13,0,15,0,0,13,22,19,15,16,3,4245,1611,2634,36974,13954,18817,61,598,1682,1903,11,181,739,681,50,417,945,1222,435,482,2172,2570,15898,196,261,856,1284,7906,242,217,1311,1287,7994
2014,5,25,250,0,14,106,3,21,71,3,51,6,0,22,72,73,46,53,9,4095,2051,2044,36697,18152,18545,459,687,1599,1350,319,398,815,519,140,289,784,831,7722,2537,5710,3321,10897,3003,1338,2796,1488,6431,4714,1206,2919,1836,4463
2014,6,6,100,1,2,68,0,6,10,2,19,0,0,6,29,31,19,19,3,4735,1830,2905,47661,24069,23592,118,692,2149,1777,94,253,876,607,24,439,1273,1169,293,360,2954,3108,21268,115,270,1570,1663,10667,182,97,1380,1457,10599
2014,7,35,296,2,10,146,1,32,109,1,26,8,0,63,91,89,55,35,0,5455,2643,2812,48393,22772,25621,658,1375,2359,1061,275,844,979,545,383,532,1380,517,11446,6285,10514,4877,8925,4817,3086,4794,2358,4665,6633,3208,5720,2530,4266
2014,9,49,542,3,25,211,1,45,172,10,112,18,0,49,183,149,97,113,3,13249,5542,7707,58624,29023,29601,490,2707,6367,3687,290,1129,2644,1479,199,1577,3721,2209,4821,3230,7404,5625,21969,2001,1408,3664,3296,10809,2826,1828,3736,2337,11146
2014,10,15,132,0,2,72,0,5,43,0,24,1,0,15,37,34,25,35,1,3202,1328,1874,27219,14000,13219,66,675,1100,1361,0,382,349,597,66,293,751,764,748,1024,2430,2270,10699,225,439,1434,1351,5461,526,580,998,923,5235
2014,13,32,459,0,12,211,0,26,103,5,130,4,0,28,98,148,91,117,7,16430,5773,10657,85508,41323,44185,388,1935,7084,7020,209,825,1978,2761,182,1110,5105,4260,1763,1645,6476,7477,35234,742,784,3340,4047,17153,1015,859,3129,3443,18082
2014,14,49,508,0,22,304,1,32,100,1,97,0,0,32,116,136,106,152,15,2737,1045,1692,19597,10263,9334,146,302,857,1432,87,104,191,663,59,198,666,769,781,600,1686,2175,7455,352,394,776,1138,3890,424,202,912,1041,3567
2014,17,9,144,0,3,71,1,12,33,1,31,1,0,5,32,43,27,41,5,6064,2222,3842,57553,25800,31753,27,451,1156,4430,21,192,407,1602,6,259,749,2828,406,918,4869,5334,23479,126,475,2265,2148,10345,280,438,2608,3195,13132
2014,18,13,128,0,9,77,0,8,16,2,29,0,0,12,40,40,18,27,4,4354,2213,2141,48844,25952,22892,181,591,1329,2253,138,296,532,1247,43,295,797,1006,1716,1701,5074,5226,18432,662,900,2772,2929,9570,1052,794,2302,2304,8855
2014,19,37,348,1,12,179,0,20,94,3,77,1,0,31,68,102,55,120,9,10608,4056,6552,171676,71414,98973,560,1316,2803,5929,357,520,1004,2176,203,795,1799,3755,2988,3927,11405,13213,68450,1187,1686,4835,5450,28364,1814,2229,6565,7781,40071
2014,20,35,252,0,7,129,2,24,56,3,66,0,0,29,66,64,53,73,2,4371,2066,2305,84592,39299,45293,164,867,1400,1940,108,409,584,965,56,458,816,975,999,1313,5218,6516,29738,366,503,2448,3332,12850,634,805,2774,3184,16894
2014,22,3,80,0,6,47,0,9,12,0,9,0,0,25,18,8,8,20,3,1,0,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
2014,23,61,638,20,3,401,1,57,191,2,30,34,0,139,237,125,104,109,4,10347,5296,5051,57241,25070,32171,2163,2513,3861,1810,1258,1511,1671,856,905,1002,2190,954,6313,7830,14272,7058,11149,2473,3722,6462,2924,4829,3832,4113,7810,4131,6327
2014,24,15,227,2,1,138,0,31,53,0,20,1,0,46,71,51,22,49,4,7729,3092,4637,84332,37316,47016,883,1524,2472,2850,535,587,1171,799,346,938,1300,2052,4337,3771,8002,8149,24728,1903,1391,3906,3981,10899,2450,2386,4096,4165,13838
2014,25,80,661,21,4,434,1,46,104,22,26,125,0,60,196,187,152,164,2,3660,1600,2060,20713,8456,10893,888,1015,1311,446,330,501,604,165,558,514,707,281,3358,3983,5037,3279,2579,1526,2092,2657,1520,1081,1837,1889,2378,1756,1496
2014,26,22,166,2,1,126,1,15,32,4,6,5,0,33,58,40,20,35,4,12969,4985,7984,30212,14650,15562,493,2301,7360,2817,302,717,2529,1437,190,1582,4834,1380,1981,1885,4547,3065,7654,679,835,2185,1920,3438,1298,1060,2363,1143,4217
2014,28,33,237,1,1,223,0,14,19,9,3,2,0,43,89,54,33,49,3,7292,3791,3501,43713,19117,24596,1804,2167,2157,1164,1000,1207,1047,537,804,960,1110,627,3123,4782,10144,6206,9213,1311,2070,4565,3121,4028,1812,2713,5587,3085,5187
2014,30,22,284,13,6,140,1,49,95,0,13,15,0,45,112,91,42,28,1,8001,4100,3901,43106,19573,23533,1053,1805,3291,1853,732,1177,1588,603,321,627,1703,1250,6600,6237,9357,6645,7139,2760,2810,5014,3104,2912,3843,3426,4346,3536,4233
2014,32,41,373,2,2,352,0,12,39,1,8,2,0,54,139,89,54,63,3,7699,3728,3971,46547,20165,26382,1775,1979,2829,1115,978,1065,1122,563,797,915,1707,552,3903,5620,11691,8330,8173,1549,2799,5328,3397,3778,2360,2821,6363,4929,4399
2014,33,11,288,1,2,80,0,84,113,4,12,5,0,26,108,94,38,33,1,7569,3936,3633,43884,21599,22285,2122,1134,2471,1837,1317,657,1168,794,805,478,1305,1045,8484,5303,7840,6127,8784,3690,2812,4235,3704,4052,4809,2484,3608,2414,4734
2014,34,16,370,7,3,51,1,132,172,1,18,15,0,45,147,115,51,32,3,16649,9164,7485,97028,46905,50123,3463,3262,7306,2621,2253,1913,4028,970,1208,1349,3277,1651,17910,11034,18999,14496,17819,8998,5165,9652,7299,8865,8909,5875,9353,7185,8977
2014,40,103,783,12,6,412,1,98,340,1,15,25,0,100,320,203,135,135,5,11270,5718,5552,52290,23010,29280,3642,3456,3855,319,1890,2004,1666,158,1752,1451,2188,161,11733,10346,14631,7723,3927,5403,4318,7514,3161,1322,6333,6017,7121,4559,2606
2014,41,54,937,24,2,435,2,128,408,0,10,30,0,157,413,280,108,56,1,7460,3968,3492,34340,15697,18643,2704,2011,2419,326,1489,1154,1192,133,1215,857,1227,193,7662,6634,8670,5746,2644,3940,3055,4198,2431,904,3730,3583,4472,3314,1739
2014,42,66,601,31,1,410,1,55,187,1,8,35,0,159,273,126,69,66,2,10133,4921,5212,48389,19541,28848,3187,2965,3638,343,1659,1494,1679,89,1528,1471,1959,254,9559,9224,13428,8272,3611,4051,3286,6303,3115,1274,5510,5938,7127,5161,2338
2014,43,34,391,2,5,233,3,45,127,4,2,8,0,68,161,102,42,51,1,17709,8735,8974,106028,47986,58042,4739,4644,7012,1314,2570,2521,3100,544,2169,2123,3912,770,15544,16646,29949,18334,12325,7303,8025,14914,8234,4328,8225,8629,15046,10089,7995
2014,44,59,1271,0,2,724,2,200,383,2,15,2,0,192,622,315,117,75,3,20300,9896,10404,97100,42865,54235,5839,5253,8108,1101,3380,2754,3365,397,2459,2499,4742,704,19043,16952,25655,16108,8779,7455,7844,12213,7261,3957,11596,9107,13442,8850,4818
2014,45,33,265,0,6,118,2,40,86,3,43,0,0,60,113,52,39,34,0,13547,7181,6366,94532,42866,51666,1827,3338,7000,1381,979,1964,3569,671,850,1373,3431,712,8203,8550,28452,19379,14071,3576,4159,14166,9280,5914,4623,4403,14285,10115,8144
2014,46,7,339,2,0,158,0,60,123,0,4,3,0,47,152,95,34,18,0,12574,6540,6034,59895,26429,33466,3409,3219,5249,697,2081,1886,2349,224,1328,1333,2900,473,10968,10037,17699,10003,4759,4915,4361,8675,4183,1952,6058,5675,9025,5824,2814
2014,47,25,332,5,4,259,2,23,58,4,6,6,0,63,148,86,39,26,0,17653,8681,8972,103845,44074,59771,3497,4425,8056,1675,2027,2344,3803,507,1470,2081,4253,1168,9160,11860,30940,18659,16252,4197,5475,13702,8404,6495,4960,6383,17243,10257,9747
2014,48,6,125,4,1,69,0,17,34,0,5,9,0,29,60,29,9,7,1,11879,5845,6034,51817,22583,29234,3715,2885,4732,547,1869,1636,2074,266,1846,1249,2658,281,10013,10307,13522,8862,4201,4336,4426,6074,4018,1891,5672,5876,7449,4841,2306
2014,49,22,453,0,5,238,1,23,144,9,55,0,0,49,181,139,50,55,1,10194,5074,5120,74233,34595,39638,1834,2539,4871,950,1120,1398,2245,311,714,1141,2626,639,9344,8019,20705,12308,11235,4022,4301,10279,6357,4576,5319,3718,10423,5959,6670
2014,50,12,289,0,5,84,1,65,111,0,34,1,0,25,118,86,41,31,0,10034,4995,5039,64011,28924,35087,1387,2443,4767,1437,911,1348,2078,658,476,1095,2689,779,5193,5309,13301,11075,12633,2296,2587,6384,5545,5258,2907,2722,6913,5543,7380
