YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
2004,1,39,718,74,49,306,2,26,134,0,224,0,90,57,246,218,145,112,11
2004,5,68,841,51,292,245,0,44,183,0,119,0,77,160,304,197,149,101,7
2004,6,135,1620,165,36,942,4,76,324,0,359,0,179,134,549,567,395,177,9
2004,7,181,2271,157,169,765,8,187,1068,0,226,0,186,407,934,575,329,218,14
2004,9,172,2150,205,42,722,10,183,795,0,565,0,210,208,680,687,469,311,14
2004,10,204,2511,332,100,1089,9,146,727,0,637,0,339,182,840,814,581,396,30
2004,13,121,1509,121,56,759,6,70,348,0,372,0,140,71,391,409,428,322,19
2004,14,329,3822,378,125,2196,14,153,916,0,697,0,428,177,1166,1129,1058,653,36
2004,17,25,385,32,17,178,1,11,91,0,99,0,45,16,99,135,105,64,2
2004,18,100,1261,135,30,660,2,66,302,0,280,0,156,85,417,395,290,195,15
2004,19,108,1114,26,32,549,4,75,272,0,273,0,43,136,261,309,286,196,8
2004,20,157,1574,178,43,698,0,114,419,0,402,0,233,263,413,381,379,308,17
2004,22,29,335,45,4,206,0,26,80,0,38,0,55,117,63,57,94,51,1
2004,23,346,4773,411,13,2519,2,350,2080,0,136,0,430,902,1930,1095,725,393,17
2004,24,128,1429,82,13,735,2,151,469,0,116,0,153,231,466,319,319,214,11
2004,25,223,3044,400,18,1502,2,269,1310,0,134,0,432,368,1158,907,596,327,14
2004,26,220,1991,87,11,1467,3,173,455,0,85,0,104,316,725,518,361,238,5
2004,28,181,1920,91,2,1806,0,60,154,0,56,0,114,240,644,454,463,222,18
2004,30,228,4415,739,9,1572,6,995,1618,0,104,0,1078,537,1914,1403,720,363,16
2004,32,466,4598,227,14,4194,1,197,518,0,88,0,279,490,1682,1269,891,539,30
2004,33,139,2989,509,9,710,3,745,1414,0,110,0,646,379,1413,831,416,229,7
2004,34,147,3157,433,9,387,1,1243,1420,0,112,0,565,414,1538,821,300,158,9
2004,40,511,6122,981,12,2961,5,731,2681,0,104,0,1120,917,2642,1686,1201,624,39
2004,41,154,1958,38,4,808,4,231,991,0,55,0,57,244,858,518,354,159,6
2004,42,347,3344,418,4,2190,0,294,1070,0,44,0,507,670,1520,788,543,331,13
2004,43,260,2908,198,23,1501,10,261,1276,0,69,0,226,510,1229,713,471,245,10
2004,44,132,2735,365,7,1415,2,405,939,0,62,0,402,442,1156,858,391,214,6
2004,45,119,1181,88,22,426,19,88,386,0,323,0,124,342,438,216,192,107,4
2004,46,214,2914,10,30,1560,3,319,1170,0,49,0,7,492,1268,671,409,175,2
2004,47,306,3573,485,24,2936,5,130,588,0,134,0,547,718,1669,831,505,230,6
2004,48,142,1862,245,7,861,1,189,837,0,65,0,289,277,847,457,291,151,5
2004,49,154,2182,186,22,1150,10,144,689,0,301,0,206,473,1149,469,181,118,10
2004,50,90,2094,31,14,558,6,346,973,0,293,0,25,395,1020,432,213,124,9
2004,52,148,2259,297,36,814,10,258,1092,0,115,0,379,459,974,528,344,176,6
2004,60,247,2594,200,38,1416,6,127,605,0,633,0,216,484,1147,682,414,175,10
2004,61,135,1825,214,48,519,5,37,224,0,1112,0,229,619,773,300,203,107,6
2004,62,71,1214,115,50,113,12,23,298,0,777,0,127,365,526,238,137,76,2
