YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2010,1,205,2240,1,92,1495,12,100,405,12,326,4,0,101,490,624,498,708,22,4540,1629,2911,33228,16630,16598,83,731,1826,1900,0,354,770,505,82,378,1057,1394,481,464,1990,2474,13731,131,232,1056,1354,6504,352,228,937,1123,7233
2010,5,322,2502,47,376,1197,8,189,635,112,291,63,0,245,658,738,537,649,42,6184,2948,3236,36696,18181,18515,489,1285,2629,1781,363,524,1254,807,126,761,1375,974,8471,3905,6566,3049,9146,3532,1902,3361,1724,4837,4938,2001,3197,1329,4319
2010,6,227,3224,82,79,1986,10,144,528,12,665,109,0,112,809,1018,736,768,58,5971,2222,3749,47007,23038,23969,61,1158,1946,2807,21,422,796,983,40,736,1148,1825,510,646,2671,3451,20459,278,306,1328,1770,9519,230,345,1346,1677,10944
2010,7,198,2970,56,120,1105,6,340,1088,89,380,96,0,360,1133,941,391,361,36,6504,3009,3495,49956,23401,26555,1636,1475,2307,1087,763,815,1017,414,873,660,1289,673,12960,6123,11410,5160,8209,5109,3202,5289,2664,4120,7852,2922,6117,2487,4082
2010,9,406,4672,99,110,1771,12,471,1477,75,1157,104,0,377,1458,1549,861,883,43,12779,5610,7169,54014,27812,26202,981,2928,4993,3875,619,1474,2033,1485,361,1454,2963,2391,4762,3822,7232,5854,18907,1761,1875,3953,3098,10132,3001,1941,3277,2751,8770
2010,10,247,2454,27,97,1204,12,148,583,70,602,12,0,129,782,795,475,501,21,2503,1106,1397,22961,12010,10951,286,402,814,1001,118,128,417,443,168,274,397,558,837,1130,2352,2682,8093,282,467,1395,1520,4101,554,665,960,1173,3990
2010,13,348,3623,76,103,1755,12,239,885,60,828,165,0,255,818,1017,847,1017,64,17310,5180,12130,85577,41358,44219,562,3801,5115,7830,209,918,1373,2680,354,2885,3744,5150,1937,1776,6717,7429,35510,813,1004,3065,3661,17619,1140,754,3647,3773,17876
2010,14,1086,10879,160,354,6746,50,560,2301,60,1755,299,0,526,2825,3073,2382,3149,153,2361,902,1459,17658,9472,8186,205,259,940,957,99,137,292,374,106,122,648,583,566,799,2096,1994,6235,221,455,1260,1047,3267,345,340,842,944,2972
2010,17,167,1630,45,99,760,4,118,357,108,345,51,0,87,338,431,403,549,30,6254,2613,3641,53768,24995,28773,59,321,683,5191,59,259,189,2106,0,62,494,3085,614,596,3493,4778,23319,272,277,1470,2016,10617,349,317,2029,2755,12706
2010,18,340,2787,26,112,1571,20,156,599,22,620,53,0,276,758,734,579,758,42,5612,2294,3318,49173,25556,23617,451,744,1224,3193,236,373,381,1304,215,371,843,1889,2275,1702,5046,5766,18747,1048,817,2530,3187,9346,1229,885,2515,2575,9401
