YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2016,1,7,50,3,2,34,1,3,0,1,18,0,1,12,14,13,12,9,0,4367,1782,2585,44267,21438,22829,194,663,2080,1430,106,257,867,552,88,406,1213,878,691,650,2382,3198,19215,213,356,998,1592,9671,478,294,1384,1606,9544
2016,5,11,84,0,6,43,0,6,27,0,11,0,2,14,25,21,14,20,1,4920,2490,2430,32834,17429,15405,459,654,2058,1749,270,331,1051,838,189,323,1007,911,5943,2767,5898,2476,10093,2485,1470,3232,1294,6084,3458,1297,2666,1182,4009
2016,6,3,34,0,0,17,0,0,13,0,7,0,0,1,9,11,11,5,0,4575,1955,2620,47984,24091,23893,99,425,2248,1803,75,242,971,667,24,183,1277,1136,326,400,2656,3010,21305,191,265,1488,1585,10261,135,135,1168,1425,11044
2016,7,2,73,0,3,30,0,6,23,0,11,0,2,12,20,22,11,10,0,4362,2067,2295,47929,21713,26216,565,1188,1739,870,226,691,791,359,339,497,948,511,10454,5701,10062,4874,9526,4307,2974,4624,2223,4627,6147,2727,5438,2651,4899
2016,9,6,100,0,2,43,0,8,41,1,9,0,2,14,34,20,12,24,1,12549,5609,6940,58159,28687,29472,298,2547,6650,3054,166,1073,2753,1617,132,1474,3897,1437,4293,3012,7626,5552,22178,1639,1421,3611,3220,11252,2654,1591,4015,2332,10926
2016,10,7,72,0,4,42,0,5,16,2,10,0,0,7,20,31,12,8,0,4908,2023,2885,38330,20197,18133,118,1130,2298,1362,64,392,1006,561,54,738,1292,801,1114,1195,3595,3450,15221,379,650,1868,1933,8590,735,545,1727,1517,6631
2016,13,10,98,0,3,49,1,3,19,1,31,0,1,4,28,27,28,19,2,13935,4714,9221,79264,38958,40306,323,1355,5889,6368,237,530,1493,2454,86,825,4396,3914,1683,1702,4506,6530,32786,994,979,2590,3141,15774,689,723,1916,3389,17012
2016,14,12,124,0,3,78,0,6,26,2,21,0,0,3,26,56,28,23,0,1933,733,1200,18364,9682,8682,101,253,578,1001,46,106,104,477,55,147,474,524,443,743,1888,1624,7158,206,457,1048,799,3762,237,286,840,825,3396
2016,17,7,49,1,2,28,1,5,7,0,14,0,0,1,11,14,12,17,1,4716,1788,2928,54340,24596,29744,59,433,1180,3044,36,163,272,1317,23,270,908,1727,298,644,3103,4994,23386,59,310,1619,1987,10264,239,334,1484,3007,13122
2016,18,11,101,0,6,62,1,9,16,0,17,0,1,3,35,39,16,19,0,5746,2788,2958,54487,29007,25480,245,664,1742,3095,143,243,757,1645,102,421,985,1450,1262,1300,4150,4731,22166,419,661,2276,2570,11677,843,639,1874,2161,10489
2016,19,8,100,0,2,58,0,9,21,1,17,0,0,5,24,26,22,30,1,9386,3877,5509,174042,74217,99825,457,1371,2459,5099,266,511,940,2160,191,860,1519,2939,2497,3331,11462,12573,69836,941,1677,4713,5135,28871,1556,1654,6749,7438,40965
2016,20,3,35,0,0,19,0,6,7,0,6,0,0,6,12,5,6,9,0,3502,1273,2229,77545,34930,42615,118,777,947,1660,87,229,428,529,31,548,519,1131,1186,1520,5595,5383,26499,509,686,2365,2938,11433,677,834,3230,2445,15066
2016,22,5,40,0,0,20,0,10,8,0,7,0,0,27,11,2,3,2,0,2,0,2,2,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
2016,23,33,345,2,2,238,0,26,100,2,8,0,4,96,123,92,38,31,0,10437,5488,4949,58778,25009,33769,1611,3031,3861,1934,808,2010,1802,868,803,1021,2059,1066,5848,7635,13732,7251,12440,2360,3380,6073,2797,5315,3488,4255,7659,4454,7125
2016,24,15,116,1,0,81,0,14,27,0,8,0,2,33,35,31,17,16,0,6401,2620,3781,83012,37259,45753,621,1176,1954,2650,243,400,843,1134,378,776,1111,1516,3930,3794,7902,8097,24619,1954,1412,3440,3965,11248,1976,2382,4462,4132,13371
2016,25,14,219,1,3,173,0,19,29,3,6,0,1,41,81,52,31,26,1,3107,1626,1481,21875,10683,11192,685,924,1051,447,403,467,585,171,282,457,466,276,3041,4230,5236,3337,2948,1424,2332,2773,1599,1349,1617,1898,2463,1738,1599
2016,26,4,66,1,0,47,0,5,15,1,1,0,2,12,14,12,21,11,0,13189,5232,7957,29243,14011,15232,358,1511,8086,3234,214,503,3116,1399,144,1008,4970,1835,1519,1808,4233,2872,7816,450,770,2103,1663,3869,1069,1038,2130,1209,3947
2016,28,9,104,0,0,91,1,9,8,0,3,0,1,9,30,29,18,27,0,6493,3197,3296,46017,21034,24983,1354,2021,1834,1284,549,1207,781,660,805,814,1053,624,3211,5044,9706,6637,10112,1349,2390,4567,3375,4561,1862,2654,5139,3262,5551
2016,30,13,104,0,1,50,0,26,35,1,3,0,1,14,31,36,26,8,1,8155,4499,3656,44931,20789,24142,1258,1683,3365,1849,872,1143,1796,688,386,540,1569,1161,6837,6145,9568,6486,7383,2793,2968,4647,3090,3333,4044,3177,4921,3396,4050
2016,32,22,193,0,2,174,0,11,22,2,2,0,2,32,66,65,32,20,0,7525,3777,3748,49288,21314,27974,1700,1898,2790,1137,1040,882,1224,631,660,1016,1566,506,3501,6275,12223,8452,9098,1569,2889,5656,3312,4170,1932,3386,6567,5140,4928
2016,33,5,60,0,0,12,1,15,33,0,4,0,0,9,20,19,8,8,1,8938,4455,4483,60747,30411,30336,1785,1485,3221,2447,1083,697,1544,1131,702,788,1677,1316,10742,6721,11415,8438,12633,5052,3721,6162,4948,6128,5690,3000,5253,3490,6505
2016,34,13,120,0,1,26,0,45,52,0,4,0,5,15,48,37,27,6,0,13832,7260,6572,89332,42354,46978,2539,2554,6254,2485,1352,1786,3288,834,1187,768,2966,1651,15929,10425,15810,13588,16605,8037,4202,8238,7063,7662,7892,6223,7572,6525,8943
2016,40,35,335,5,1,189,1,44,123,2,6,0,9,59,122,100,56,37,1,11648,6036,5612,53411,23634,29777,3602,3275,4356,415,1829,1988,2052,167,1773,1287,2304,248,11496,9986,14890,8659,4264,5261,4261,7655,3440,1585,6235,5725,7235,5219,2679
2016,41,9,151,1,3,81,0,12,58,0,3,0,4,21,57,48,17,18,0,6877,3643,3234,35860,16503,19357,2115,1901,2513,348,1147,1135,1227,134,968,766,1286,214,7807,6178,9309,6181,3119,3902,3013,4585,2651,1003,3905,3165,4724,3530,2116
2016,42,16,169,0,0,127,0,13,36,5,1,0,3,28,70,42,17,25,0,10541,5215,5326,52300,22587,29713,2904,3378,3936,323,1424,1834,1818,139,1480,1544,2118,184,9263,9394,14082,9466,4957,4044,4012,6892,3803,1725,5219,5382,7190,5663,3232
2016,43,18,280,5,2,164,1,35,86,1,2,0,12,35,115,89,32,29,2,18311,9067,9244,108417,48715,59702,4854,4650,7331,1476,2870,2370,3315,512,1984,2280,4016,964,16044,16017,30273,20478,12198,7382,7803,14428,9171,4891,8662,8214,15845,11307,7307
2016,44,12,113,0,0,80,0,16,28,0,0,0,1,27,38,36,13,11,0,19590,9370,10220,98654,43084,55570,5196,5138,8264,992,2932,2811,3241,386,2264,2327,5023,606,18394,16152,25654,17199,10897,7646,7428,11943,7255,4874,10748,8724,13711,9944,6023
2016,45,9,69,0,0,40,0,8,22,0,7,0,1,16,23,19,10,10,0,13811,7393,6418,92744,41067,51677,1644,3318,7770,1079,996,2011,4006,380,648,1307,3764,699,7912,7965,27578,18807,13913,3549,3696,13314,8916,5646,4363,4269,14264,9891,8267
2016,46,3,126,0,1,75,0,12,37,0,4,0,0,32,38,26,17,16,0,13428,6665,6763,62269,27293,34976,3502,3271,5977,678,1849,1813,2799,204,1653,1458,3178,474,11087,10761,18492,10273,5313,4927,4879,8556,4280,2136,6160,5882,9936,5993,3177
2016,47,8,192,1,1,163,0,11,21,4,0,0,1,27,69,67,28,7,2,18171,9160,9011,107824,46493,61331,3599,4101,8619,1852,1981,2314,4148,717,1618,1787,4471,1135,10081,11718,32267,19408,16685,4699,5486,14347,9172,6410,5382,6232,17920,10236,10275
2016,48,1,86,3,0,52,0,9,25,1,2,0,1,16,36,19,10,9,0,11529,5888,5641,54332,23958,30374,2990,3009,4645,885,1601,1694,2235,358,1389,1315,2410,527,9579,10299,14094,10192,5059,4144,4302,6788,4366,2413,5435,5997,7306,5826,2646
2016,49,46,516,4,9,244,2,51,180,11,67,0,2,73,211,163,66,50,0,10526,5328,5198,75499,35669,39830,1884,2458,5148,1036,1160,1280,2517,371,724,1178,2631,665,9393,8146,21146,12445,11223,4120,4180,10607,6319,4570,5273,3966,10539,6126,6653
2016,50,7,99,0,3,19,0,21,44,0,18,0,1,13,35,25,14,19,0,9620,4758,4862,71275,31833,39442,830,2972,4655,1163,525,1541,2298,394,305,1431,2357,769,6244,6084,14770,11367,15380,2844,2639,6939,5490,6528,3400,3445,7831,5877,8852
2016,52,9,131,0,4,47,0,31,55,1,2,0,0,23,50,30,20,17,0,19115,9109,10006,93265,43093,50172,3836,5561,8309,1409,1993,3136,3602,378,1843,2425,4707,1031,15744,13876,25691,16016,11434,6636,6178,13137,8025,4763,9108,7698,12554,7991,6671
2016,60,20,257,1,2,147,1,18,55,2,52,0,1,35,89,86,25,41,2,8704,4016,4688,78353,35110,43243,1378,2114,4099,1113,672,1020,1826,498,706,1094,2273,615,7864,6890,20149,9480,16931,3302,3107,8987,4765,7564,4562,3783,11162,4715,9367
2016,61,9,79,0,0,38,0,2,8,0,40,0,0,14,18,28,19,9,0,12960,6762,6198,119145,55929,63216,1209,2942,6258,2551,631,1531,3441,1159,578,1411,2817,1392,9566,7954,30315,14911,29248,4439,3889,14008,7551,14012,5127,4065,16307,7360,15236
2016,62,4,121,0,11,8,0,8,41,1,56,0,0,18,40,40,17,10,0,15951,8223,7728,137546,65719,71827,2045,3654,6916,3336,1234,1983,3446,1560,811,1671,3470,1776,21146,14834,37850,13993,27262,9587,7894,18125,7009,13259,11559,6940,19725,6984,14003
2016,63,9,71,0,3,58,0,1,4,0,14,0,0,16,29,20,6,8,0,10449,5283,5166,77652,34886,42766,1158,2449,5342,1500,632,1431,2700,520,526,1018,2642,980,4019,4648,22441,14049,15870,1609,2134,10520,6878,7400,2410,2514,11921,7171,8470
2016,66,10,227,0,40,44,0,33,65,5,49,0,1,28,73,64,37,26,4,15646,8494,7152,92009,45221,46788,2738,5061,5619,2228,1973,2109,3340,1072,765,2952,2279,1156,11155,11105,27586,11853,14672,5389,6245,12079,6626,7453,5766,4860,15507,5227,7219
2016,67,10,259,0,0,259,0,2,4,1,3,0,0,22,102,92,34,17,1,13035,6239,6796,93090,37851,55239,1762,4130,5834,1309,1085,2220,2585,349,677,1910,3249,960,6653,6828,32810,18174,14491,2613,3000,14847,7243,5394,4040,3828,17963,10931,9097
2016,68,7,76,3,5,20,0,4,22,2,33,0,0,21,34,14,8,9,0,10160,5169,4991,95862,45688,50174,1386,2335,4088,2351,708,1313,2096,1052,678,1022,1992,1299,10100,9413,21479,12403,21760,4636,4777,10037,6421,10884,5464,4636,11442,5982,10876
2016,69,0,25,0,0,22,0,1,1,0,1,0,0,3,6,8,7,1,0,9561,4695,4866,61149,25538,35611,1141,2275,5052,1093,680,1492,2206,317,461,783,2846,776,3983,5187,17830,12200,10391,1651,2430,7860,5460,3952,2332,2757,9970,6740,6439
2016,70,7,101,0,2,85,0,1,13,1,6,0,0,13,29,35,20,9,1,16652,7691,8961,108761,49351,59410,1965,4995,6921,2771,1135,2554,3107,895,830,2441,3814,1876,9848,9808,29924,15034,22187,4680,4307,13844,7133,9795,5168,5501,16080,7901,12392
2016,71,15,177,0,2,170,0,2,9,2,7,0,0,39,61,53,27,12,0,9497,4943,4554,63601,28153,35448,1045,2328,4619,1505,524,1223,2526,670,521,1105,2093,835,4125,5894,17460,12481,11363,1602,2684,7805,5870,5177,2523,3210,9655,6611,6186
2016,72,5,119,0,3,25,0,12,69,1,11,0,3,9,31,40,26,15,0,11320,5420,5900,87320,44475,42845,2444,2489,4251,2136,1321,1391,1983,725,1123,1098,2268,1411,17020,16555,15923,8249,15016,8209,8927,8353,4485,7713,8811,7628,7570,3764,7303
2016,73,15,170,1,0,163,0,4,13,0,4,0,2,25,71,47,23,16,2,10374,5294,5080,61949,23456,38493,2019,3712,3854,789,1134,1921,1871,368,885,1791,1983,421,6992,9809,21700,10230,6248,2813,3604,8777,3364,2562,4179,6205,12923,6866,3686
2016,75,18,299,13,1,244,2,16,46,6,3,0,12,77,120,71,37,25,0,20867,10263,10604,117597,50505,67092,4260,7176,8108,1323,2409,3556,3878,420,1851,3620,4230,903,13676,14004,47057,17855,11757,6067,5716,22374,7353,4178,7609,8288,24683,10502,7579
2016,76,7,124,0,3,78,0,4,29,0,17,0,0,21,28,34,30,16,2,2154,840,1314,31675,15010,16665,330,681,612,531,129,259,243,209,201,422,369,322,1816,2209,4198,2932,9973,811,865,1983,1386,4870,1005,1344,2215,1546,5103
2016,77,7,123,0,0,118,1,2,5,2,2,0,0,11,29,32,30,24,4,9179,4206,4973,60992,26808,34184,1458,1942,3571,2208,858,1013,1582,753,600,929,1989,1455,4177,6023,16312,9439,12893,1787,2605,7210,4388,5848,2390,3418,9102,5051,7045
2016,78,17,79,0,4,65,0,3,14,0,10,0,0,24,24,13,14,19,2,4968,2228,2740,71141,33695,37446,531,890,1475,2072,322,575,563,768,209,315,912,1304,2579,3145,6655,5534,24100,1210,1429,3046,2999,12224,1369,1716,3609,2535,11876
2016,79,11,224,3,2,175,0,12,32,1,7,0,9,49,81,55,28,23,2,13102,6029,7073,69826,30763,39063,1724,3548,5436,2394,1028,1713,2422,866,696,1835,3014,1528,5630,8738,17228,11510,14400,2548,4190,7244,5162,6488,3082,4548,9984,6348,7912
2016,81,4,125,0,0,116,0,3,7,1,0,0,2,14,44,34,12,23,2,7435,3469,3966,41750,18373,23377,1187,2010,2848,1390,757,1038,1139,535,430,972,1709,855,3365,5571,11979,7099,7492,1574,2394,5897,2915,3128,1791,3177,6082,4184,4364
2016,83,11,97,3,0,51,0,7,44,2,4,0,3,15,38,29,18,11,0,16044,8105,7939,75955,37401,38554,2685,3355,6436,3568,1660,1845,3049,1551,1025,1510,3387,2017,14673,12068,17863,10488,12797,7109,6443,8737,5422,6106,7564,5625,9126,5066,6691
2016,84,22,187,0,2,157,0,9,26,1,14,0,0,52,66,38,22,30,1,7042,3174,3868,52112,25879,26233,367,1057,2879,2739,205,573,1196,1200,162,484,1683,1539,1338,1514,4377,4126,19941,495,779,2390,2397,9810,843,735,1987,1729,10131
2016,88,8,56,0,2,43,0,5,10,0,4,0,0,20,11,15,13,4,1,5719,2862,2857,41649,19185,22464,602,1364,2428,1325,303,802,1140,617,299,562,1288,708,2455,2845,6478,5300,12613,978,1218,3035,2511,6158,1477,1627,3443,2789,6455
2016,90,8,239,0,3,81,0,28,100,0,33,0,2,32,69,52,42,47,4,13539,6705,6834,87333,42688,44645,2052,4112,4071,3304,1210,1590,2576,1329,842,2522,1495,1975,9007,9932,19340,12036,23352,3901,4687,8514,7167,11670,5106,5245,10826,4869,11682
2016,94,6,67,0,1,24,0,4,29,3,12,0,0,7,19,19,14,14,0,3324,1303,2021,37563,18217,19346,194,496,1404,1230,59,230,546,468,135,266,858,762,1727,1975,6210,4954,13332,755,962,2935,2843,6472,972,1013,3275,2111,6860
2016,100,6,77,0,1,59,0,1,16,0,6,0,0,31,13,18,11,9,0,3265,1697,1568,34535,16944,17591,328,701,1810,426,194,469,820,214,134,232,990,212,1822,3197,8435,6621,6772,830,1527,4258,3376,3682,992,1670,4177,3245,3090
2016,101,10,99,0,0,90,0,2,12,0,5,0,0,17,39,24,19,9,1,7090,3103,3987,42876,18028,24848,1278,1883,3179,750,809,772,1199,323,469,1111,1980,427,5237,7138,10627,7535,5901,2382,3009,4815,3014,2350,2855,4129,5812,4521,3551
2016,102,8,95,1,22,19,1,10,40,0,11,0,1,19,44,26,8,7,0,17773,9048,8725,118450,56705,61745,2137,4903,8353,2380,1132,2910,4085,921,1005,1993,4268,1459,14862,11066,32399,17006,22206,6773,5522,15644,8550,10683,8089,5544,16755,8456,11523
2016,103,7,95,0,4,69,0,3,19,4,3,0,0,18,32,26,15,9,2,9575,5050,4525,65449,30492,34957,1650,2733,4293,899,938,1510,2123,479,712,1223,2170,420,9664,7189,18550,9732,10320,4323,3103,8896,4793,4897,5341,4086,9654,4939,5423
2016,104,1,42,0,1,12,0,8,18,0,4,0,0,10,12,13,5,3,0,15355,8083,7272,123275,58927,64348,1792,4078,6824,2661,1013,2368,3710,992,779,1710,3114,1669,11495,8860,40425,21631,21167,5146,4552,19919,10886,10304,6349,4308,20506,10745,10863
2016,105,15,208,0,25,165,1,5,25,1,0,0,1,18,87,72,26,19,0,18129,8478,9651,137576,62624,74952,1709,4285,9391,2744,691,2446,4422,919,1018,1839,4969,1825,7295,9615,39462,27373,24683,3009,4930,18502,13070,11032,4286,4685,20960,14303,13651
2016,106,68,1192,4,374,442,14,51,188,2,153,0,40,130,503,354,181,96,0,13834,6931,6903,92517,44463,48054,1849,3264,6952,1769,1116,1802,3255,758,733,1462,3697,1011,10536,10778,30372,15266,13646,4935,5677,14721,7384,6208,5601,5101,15651,7882,7438
2016,107,1,39,0,17,12,1,0,6,1,3,0,0,7,14,8,5,6,0,14683,7152,7531,84725,39507,45218,1007,2524,9096,2056,572,1340,4314,926,435,1184,4782,1130,6920,5455,19316,10939,20932,2813,2059,9041,5758,9958,4107,3396,10275,5181,10974
2016,108,0,53,0,3,14,0,3,28,0,5,0,0,4,13,15,13,7,1,11070,5612,5458,105403,52349,53054,1668,2376,4577,2449,940,1309,2315,1048,728,1067,2262,1401,11883,9150,25372,11790,25424,4901,4753,13060,6128,12940,6982,4397,12312,5662,12484
2016,109,25,225,0,57,59,1,20,86,1,25,0,1,45,91,58,29,21,5,20623,10102,10521,197735,92928,104807,2134,5059,10204,3226,1247,2501,5106,1248,887,2558,5098,1978,22768,21354,55443,24992,33627,9509,9930,25680,11752,16867,13259,11424,29763,13240,16760
2016,110,12,109,0,4,37,1,12,63,0,4,0,0,12,56,32,12,9,0,17523,9819,7704,129977,66657,63320,3157,5088,7217,2061,1953,2896,3785,1185,1204,2192,3432,876,27892,14201,38293,15183,18560,14251,7455,20385,7602,9280,13641,6746,17908,7581,9280
2016,111,10,117,0,18,34,0,1,32,0,42,0,0,40,42,23,7,14,1,8392,3794,4598,89887,42319,47568,334,1572,4470,2016,210,765,2140,679,124,807,2330,1337,5295,4307,19844,13288,22744,2414,2252,8622,6941,11271,2881,2055,11222,6347,11473
2016,112,5,65,0,2,20,0,10,17,1,20,0,0,9,20,21,10,9,1,5231,2781,2450,76754,35116,41638,524,1172,2116,1419,344,710,1027,700,180,462,1089,719,3705,2671,13966,9354,22910,1451,1277,6038,4756,11061,2254,1394,7928,4598,11849
2016,113,9,104,0,1,109,0,0,3,0,0,0,0,16,50,18,16,12,1,15270,7802,7468,99185,42274,56911,2078,4479,7615,1098,1164,2645,3502,491,914,1834,4113,607,6055,7862,32242,22278,14310,2652,3567,15690,9384,4998,3403,4295,16552,12894,9312
2016,114,20,362,0,23,185,3,16,94,5,56,0,0,39,139,102,60,39,3,18391,10175,8216,148059,74433,73626,2879,3312,6098,6102,2407,2011,3226,2531,472,1301,2872,3571,13474,12351,31087,16876,40883,6214,6901,16166,9485,20017,7260,5450,14921,7391,20866
2016,115,8,128,0,12,18,2,15,87,0,2,0,0,19,64,31,12,10,0,12925,6361,6564,97559,49110,48449,2006,3662,5826,1431,1003,1944,2907,507,1003,1718,2919,924,15233,9674,30596,12093,14895,6865,5713,15730,6216,7733,8368,3961,14866,5877,7162
2016,120,23,196,0,10,127,0,10,40,1,31,0,0,30,76,59,22,29,2,9533,5070,4463,64681,30564,34117,1549,2571,4140,1273,844,1584,1903,739,705,987,2237,534,4729,5420,18194,11210,11558,2310,2443,8769,5947,5458,2419,2977,9425,5263,6100
2016,121,7,88,0,1,50,0,3,26,0,15,0,0,15,45,25,8,2,0,11376,5825,5551,83566,39432,44134,1309,2990,5580,1497,853,1560,2881,531,456,1430,2699,966,3597,6602,27593,15352,14451,1609,3236,12869,8002,6924,1988,3366,14724,7350,7527
2016,122,28,220,1,7,81,0,11,40,1,109,0,0,59,83,47,30,28,2,13441,6368,7073,102702,47948,54754,1339,3423,6225,2454,658,1699,2946,1065,681,1724,3279,1389,4455,5865,33521,17948,19222,1905,2733,15526,8974,9343,2550,3132,17995,8974,9879
2016,123,10,80,0,3,9,0,2,7,5,64,0,0,11,23,33,13,8,1,8806,4487,4319,73391,35059,38332,642,2167,4232,1765,343,1221,2071,852,299,946,2161,913,2020,3375,22689,14225,15444,1006,1808,10176,7790,7871,1014,1567,12513,6435,7573
