YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2011,1,267,3353,6,193,2044,13,137,530,32,663,14,0,168,680,1013,767,931,59,4587,1703,2884,34288,16975,17313,76,690,1927,1896,26,300,788,1896,50,390,1138,1896,659,636,690,1927,1896,188,337,300,788,597,322,297,390,1138,1299
2011,5,310,2728,80,413,1218,5,235,638,53,432,124,0,245,783,812,543,671,58,5111,2615,2496,35895,17886,18009,496,929,1932,1754,296,455,1019,1754,268,474,913,1754,1712,3194,929,1932,1754,3633,1599,455,1019,757,4994,1594,474,913,997
2011,6,235,2622,97,62,1609,5,90,465,17,595,111,0,125,769,843,596,572,37,5679,1954,3725,46503,22895,23608,96,1123,1991,2471,38,459,629,2471,329,663,1361,2471,490,578,1123,1991,2471,146,301,459,629,797,176,282,663,1361,1673
2011,7,207,3915,55,202,1454,10,423,1378,60,571,79,0,378,1211,1251,611,659,57,5624,2681,2943,48712,22525,26187,1144,1306,2204,971,526,701,1044,971,664,605,1160,971,8005,5876,1306,2204,971,5268,2979,701,1044,346,7786,2896,605,1160,624
2011,9,459,4760,148,163,1799,9,462,1460,98,1237,139,0,414,1877,1479,801,696,91,13459,5284,8175,55998,28249,27749,908,2920,5515,4114,449,1134,2095,4114,632,1786,3421,4114,4141,3770,2920,5515,4114,1976,1815,1134,2095,1503,3037,1946,1786,3421,2611
2011,10,239,2837,13,83,1650,4,161,578,67,534,12,0,161,849,858,573,590,24,2841,1341,1500,24214,12688,11526,213,376,974,1278,89,131,474,1278,138,245,500,1278,2482,1033,376,974,1278,280,452,131,474,630,410,586,245,500,648
2011,13,476,4721,55,178,2210,24,245,1180,73,1255,87,0,267,1249,1338,988,1328,54,16891,5939,10952,85211,41485,43726,443,2854,5891,7703,186,935,1736,7703,169,1919,4154,7703,2405,1738,2854,5891,7703,611,1025,935,1736,3115,1149,717,1919,4154,4589
2011,14,1054,9440,171,457,5724,37,430,1880,112,1797,228,0,491,2281,2670,2152,2849,200,2463,944,1519,17212,9004,8208,160,245,835,1223,67,91,277,1223,138,154,558,1223,573,617,245,835,1223,224,320,91,277,483,326,301,154,558,740
2011,17,200,1781,79,97,801,14,110,464,21,440,113,0,128,384,556,388,563,35,6091,2232,3859,53456,24507,28949,61,315,762,4953,28,240,178,4953,66,75,584,4953,149,563,315,762,4953,195,309,240,178,1768,329,259,75,584,3185
2011,18,370,3240,23,158,1774,30,187,742,24,667,51,0,280,833,872,608,981,49,4970,2192,2778,49655,26030,23625,392,762,1100,2716,159,365,368,2716,419,397,732,2716,897,1705,762,1100,2716,982,848,365,368,1158,1241,858,397,732,1558
2011,19,493,4560,197,229,1766,30,298,1461,30,1180,256,0,372,1206,1365,1010,1209,79,13188,5035,8153,167157,72840,94317,542,1056,3352,8240,244,524,1619,8240,229,532,1733,8240,8334,3123,1056,3352,8240,1361,1308,524,1619,2687,2009,1794,532,1733,5552
2011,20,636,4543,58,271,2212,26,319,1159,9,1169,72,0,693,1274,1191,856,1138,81,5795,2997,2798,83702,39146,44556,162,944,2187,2502,96,624,985,2502,66,320,1202,2502,981,1511,944,2187,2502,560,649,624,985,1280,755,869,320,1202,1222
2011,22,135,1279,2,30,519,0,168,366,6,316,11,0,337,393,271,174,219,18,0,0,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,23,1257,16007,234,163,10357,38,1422,4655,77,398,388,0,3890,6496,3788,1582,1630,86,10731,5890,4841,57055,25335,31720,3136,2586,3484,1525,1805,1443,1546,1525,1691,1143,1938,1525,14320,8538,2586,3484,1525,3501,3781,1443,1546,767,4803,4762,1143,1938,758
2011,24,510,4393,15,80,2503,12,538,1194,22,522,47,0,823,1374,876,640,1135,60,8477,3478,4999,81714,36471,45243,968,1465,2845,3198,428,712,1287,3198,608,753,1558,3198,6886,3748,1465,2845,3198,1418,1592,712,1287,968,2547,2145,753,1558,2231
2011,25,759,8849,318,61,6658,6,600,1913,37,301,350,0,1259,3401,2368,1330,1486,68,3879,1871,2008,18959,9046,9913,1184,1136,1206,353,569,626,449,353,733,510,757,353,5902,3876,1136,1206,353,1637,2143,626,449,137,1836,1730,510,757,216
2011,26,424,4543,24,36,3369,21,381,899,10,217,58,0,991,1643,944,591,750,58,12557,4661,7896,29985,13342,16643,563,2300,7615,2076,245,912,2705,2076,417,1387,4910,2076,2535,1785,2300,7615,2076,847,741,912,2705,713,1182,1040,1387,4910,1367
2011,28,776,7913,49,42,7163,9,329,869,31,219,76,0,1230,2525,1864,1337,1686,87,6988,3506,3482,39083,16607,22476,1583,1968,2124,1313,810,970,976,1313,1024,998,1148,1313,6036,4851,1968,2124,1313,1195,2074,970,976,539,1401,2778,998,1148,774
2011,30,412,6819,319,83,3131,49,1476,2203,20,206,382,0,978,2883,2030,856,754,40,8289,4219,4070,41412,19555,21857,1684,2049,3062,1495,853,1319,1525,1495,847,730,1537,1495,7175,4942,2049,3062,1495,3830,2265,1319,1525,468,4136,2683,730,1537,1026
