YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2013,1,81,1075,3,51,672,7,37,173,1,213,0,5,62,251,294,231,298,21,4784,1850,2934,37066,18335,18731,63,666,1725,2244,110,276,795,688,19,389,930,1556,366,578,1862,2715,15499,192,326,796,1422,7656,176,250,1063,1283,7846
2013,5,129,978,9,168,403,2,68,255,15,185,0,20,121,303,281,181,208,22,4406,2530,1876,36068,17805,18263,467,724,1632,1583,271,476,883,816,185,248,749,767,8012,2668,5883,3325,10472,3109,1394,2753,1701,5907,4902,1285,3131,1628,4570
2013,6,75,1172,26,25,708,4,55,217,5,218,0,41,48,322,400,252,230,17,4997,1824,3173,46665,23236,23429,80,742,2431,1744,105,326,882,559,121,416,1549,1185,383,382,2758,3357,20744,137,263,1290,1662,10348,248,113,1474,1694,10395
2013,7,76,1037,7,36,503,1,89,378,5,93,0,15,162,361,325,129,136,5,5619,2709,2910,49612,23561,26051,767,1313,2287,1070,340,747,1030,510,377,566,1257,560,12195,6306,10296,5462,9224,5005,3201,4814,2801,4702,7193,3109,5485,2667,4519
2013,9,249,2054,12,56,838,7,173,769,19,431,0,22,201,715,598,341,421,32,13350,5734,7616,58394,28775,29619,771,2474,6299,3808,325,1031,2698,1516,590,1442,3598,2291,4889,3766,7690,5673,21658,2028,1622,3916,3310,10774,2866,2134,3775,2364,10876
2013,10,102,1110,7,24,653,7,57,256,13,202,0,7,87,275,335,239,263,9,3090,1203,1887,26035,13523,12512,164,592,1197,1137,91,274,369,545,29,318,828,592,603,1105,2201,2418,9942,218,520,1356,1254,5164,383,582,836,1166,4779
2013,13,126,1427,2,33,728,7,70,397,1,303,0,16,100,375,425,270,359,21,17946,6082,11864,86217,41822,44395,263,2513,6680,8451,224,967,1457,3459,179,1546,5222,4992,1731,1652,6018,7839,36361,705,1004,3047,4058,17922,1027,642,2963,3791,18425
2013,14,341,3103,4,90,1955,14,157,631,13,569,0,19,97,725,871,642,1021,80,2782,1063,1719,18477,9578,8899,124,352,789,1517,105,134,200,659,70,218,589,858,693,528,1617,2157,7058,255,351,727,1212,3632,433,176,888,943,3425
2013,17,37,454,2,14,212,3,23,122,6,109,0,4,38,119,138,80,107,9,5937,1952,3985,53005,23924,29081,41,241,824,4831,92,119,122,1685,47,122,702,3146,306,730,2974,4308,23045,50,389,1172,1609,10286,260,334,1798,2698,12762
2013,18,114,838,2,34,514,6,55,169,8,161,0,7,54,221,275,146,245,10,4718,2351,2367,47837,25209,22628,163,452,1259,2837,181,267,572,1388,153,185,687,1449,1756,1731,5199,5186,17701,729,994,2635,2827,8899,1028,746,2567,2355,8803
