YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2021,1,18,116,0,0,82,0,3,15,0,30,0,0,12,27,39,36,14,1,5088,2064,3024,48752,23151,25601,119,1374,1851,1744,76,558,802,628,43,816,1049,1116,756,657,2506,2634,22190,214,178,931,1321,10741,542,479,1575,1313,11449
2021,5,8,54,0,4,28,1,7,12,0,11,0,0,2,11,19,17,11,1,4012,1940,2072,30842,15315,15527,349,444,1511,1708,301,227,735,677,48,217,776,1031,4699,3875,3647,2379,10985,2013,1928,2429,1383,5340,2686,1947,1218,996,5645
2021,6,10,58,0,1,34,0,5,12,0,15,0,0,3,12,21,19,12,1,5790,2842,2948,44802,21715,23087,18,1349,1533,2890,15,696,712,1419,3,653,821,1471,244,313,2058,3362,19255,104,204,1164,1458,9901,140,109,894,1904,9354
2021,7,17,84,0,1,55,0,14,18,0,10,0,0,14,20,25,26,11,2,4058,2244,1814,48806,23789,25017,544,801,1815,898,280,471,1053,440,264,330,762,458,8913,7756,9307,4650,10956,3258,4778,4876,2167,5654,5655,2978,4431,2483,5302
2021,9,4,66,0,2,34,0,4,23,0,7,0,0,3,8,22,15,20,1,13426,5221,8205,57288,29911,27377,454,3537,5738,3697,362,1211,2282,1366,92,2326,3456,2331,3685,2797,6714,5397,22286,1576,1174,3710,2977,11652,2109,1623,3004,2420,10634
2021,10,5,47,0,0,28,0,5,13,0,7,0,0,2,18,18,7,3,2,4256,1770,2486,44933,23998,20935,242,987,1419,1608,146,336,603,685,96,651,816,923,1658,1493,3721,3891,17633,575,777,2233,1997,9777,1083,716,1488,1894,7856
2021,13,5,107,0,2,55,0,6,29,0,18,0,0,8,14,30,32,26,1,13517,6354,7163,84778,41954,42824,622,2120,4749,6026,509,854,1915,3076,113,1266,2834,2950,1394,1551,4988,6115,36049,891,864,2817,2597,17458,503,687,2171,3518,18591
2021,14,60,275,0,14,213,0,29,50,0,23,0,0,16,71,109,63,35,5,1593,786,807,19069,9274,9795,103,353,420,717,77,149,172,388,26,204,248,329,549,590,1527,1691,7813,210,319,739,921,3761,339,271,788,770,4052
2021,17,7,32,0,0,26,0,3,7,0,3,0,0,7,5,13,4,10,0,5168,2149,3019,53487,24490,28997,152,674,1054,3288,16,255,385,1493,136,419,669,1795,788,545,2602,3075,21053,302,287,710,938,10257,486,258,1892,2137,10796
2021,18,10,91,0,3,56,0,9,18,0,12,0,0,8,19,23,19,20,2,5578,2671,2907,65358,34619,30739,33,884,1598,3063,5,518,668,1480,28,366,930,1583,994,1128,6096,4957,25238,318,742,2595,2824,14282,676,386,3501,2133,10956
2021,19,20,136,0,0,70,0,16,39,0,30,0,0,6,21,41,36,40,1,10784,3757,7027,163372,71667,91705,539,1675,3157,5413,270,765,788,1934,269,910,2369,3479,1953,2114,11114,10981,58841,920,1025,4415,4869,23593,1033,1089,6699,6112,35248
