YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
2008,1,179,2306,21,86,1544,2,105,407,13,312,0,37,160,502,553,589,675,22
2008,5,260,2852,20,498,1160,5,243,737,65,346,0,78,232,728,837,591,680,58
2008,6,238,3034,39,71,1981,9,93,461,19,576,0,101,180,801,753,804,740,23
2008,7,357,3861,75,206,1465,13,414,1578,20,500,0,97,505,1383,1338,551,476,35
2008,9,334,4236,65,136,1505,7,349,1630,18,879,0,111,444,1481,1222,780,649,49
2008,10,381,3820,12,125,1857,13,225,1017,42,918,0,16,203,1331,1318,736,547,35
2008,13,438,4696,67,150,2204,10,268,1270,57,1008,0,234,309,1199,1382,1069,1128,110
2008,14,989,10087,182,313,6193,31,537,2274,65,1476,0,369,532,2540,2772,2547,2714,134
2008,17,144,1794,52,100,759,10,110,441,49,448,0,73,100,386,552,453,466,27
2008,18,321,3043,121,94,1688,26,131,638,11,700,0,197,230,792,983,666,779,35
2008,19,510,4649,235,233,1590,41,362,1290,69,1568,0,241,409,1278,1410,1096,1129,66
2008,20,433,2367,38,84,1197,11,163,688,8,562,0,125,379,676,601,560,570,48
2008,22,75,581,19,18,269,0,50,122,10,185,0,21,202,190,107,78,89,3
2008,23,1076,14127,307,150,8247,43,1222,4951,102,339,0,456,2078,5292,4109,2185,1719,110
2008,24,384,3670,93,35,2147,5,426,1130,8,242,0,154,535,955,779,797,966,107
2008,25,663,7768,173,71,5316,19,675,1966,56,241,0,260,831,2431,2198,1665,1403,53
2008,26,354,3883,40,31,2995,4,314,762,8,113,0,50,731,1114,913,663,757,93
2008,28,564,5702,103,56,5114,13,256,592,18,161,0,159,658,1727,1590,1188,1153,37
2008,30,162,3028,128,15,1475,4,531,1031,2,76,0,184,445,1152,874,457,373,15
2008,32,871,10521,132,91,9784,12,390,907,18,112,0,210,1772,3954,2890,1396,1206,284
2008,33,228,4286,11,25,1271,6,1094,1910,16,175,0,28,457,1580,1279,627,540,35
2008,34,429,7097,85,39,833,13,2458,3539,89,277,0,363,737,3352,2257,716,507,30
2008,40,994,11410,212,27,6184,11,1308,4455,50,135,0,446,2011,4121,3188,1742,1354,181
2008,41,517,6403,488,22,2940,6,874,2766,14,128,0,658,1183,2658,1934,914,690,21
2008,42,615,7668,272,33,5120,7,726,2027,52,82,0,508,1200,3036,2273,1149,821,58
2008,43,823,9125,274,96,4784,53,1209,3388,34,204,0,454,1236,3787,2682,1400,1036,64
2008,44,440,7881,562,41,4076,16,1156,2759,61,96,0,678,1301,3452,2374,1018,689,33
2008,45,226,2969,207,68,997,26,296,1123,38,609,0,245,751,1174,693,402,354,27
2008,46,470,6935,292,29,3397,11,924,2597,13,101,0,625,1153,3067,1891,915,618,38
2008,47,666,6367,177,52,5058,24,360,1173,29,145,0,369,1058,2830,1790,840,663,22
2008,48,295,3790,24,31,1828,7,450,1599,15,113,0,66,401,1451,1210,597,415,26
2008,49,286,4341,20,84,2053,29,472,1374,8,496,0,131,1323,1917,794,358,236,15
