YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
2003,1,24,569,44,28,276,1,30,116,0,133,9,44,39,156,163,148,90,9
2003,5,36,548,60,137,186,0,20,140,0,90,4,67,103,174,171,100,65,6
2003,6,79,645,8,11,417,0,17,117,0,153,3,14,63,250,204,130,63,2
2003,7,115,1460,136,74,498,2,146,707,0,128,10,146,213,705,378,233,104,16
2003,9,127,1388,180,34,434,2,79,554,0,380,9,203,153,627,432,260,154,9
2003,10,87,1260,89,30,666,4,79,353,0,199,14,91,152,507,369,222,118,9
2003,13,52,637,79,17,335,0,24,154,0,140,12,86,71,195,231,138,105,10
2003,14,229,2714,210,90,1509,7,106,610,0,519,61,251,129,723,819,823,484,24
2003,17,28,279,21,8,162,0,11,55,0,61,0,31,22,82,93,75,39,1
2003,18,52,749,69,17,357,1,37,224,0,149,9,76,62,253,263,175,73,4
2003,19,71,909,8,15,443,3,49,233,0,210,8,27,113,229,218,248,156,10
2003,20,57,744,39,22,379,2,50,198,0,125,11,53,109,216,179,169,106,3
2003,22,6,105,8,0,44,0,7,37,0,22,3,6,46,25,17,16,12,1
2003,23,238,2621,122,7,1457,1,215,1053,0,86,21,141,478,1092,676,406,194,7
2003,24,97,1144,35,8,616,0,125,386,0,74,12,55,207,373,228,246,167,9
2003,25,142,2187,272,6,1337,2,127,651,0,161,39,278,257,839,693,447,223,20
2003,26,58,999,73,5,721,1,97,186,0,32,17,71,193,387,253,158,88,6
2003,28,136,1539,40,3,1426,0,64,139,0,36,7,40,193,524,394,387,153,13
2003,30,81,1043,72,4,484,0,210,319,0,58,7,114,136,412,323,158,87,14
2003,32,161,1702,107,4,1522,0,67,184,0,30,14,149,239,711,457,276,157,42
2003,33,99,2007,153,16,504,9,448,815,0,114,5,348,230,875,622,272,141,16
2003,34,46,1655,91,8,186,1,619,753,0,51,13,161,233,872,389,130,62,17
2003,40,298,3540,404,3,1783,0,451,1378,0,64,79,484,655,1493,844,592,329,49
2003,41,143,1798,9,4,677,1,231,970,0,52,0,15,263,734,457,338,143,4
2003,42,95,1442,183,0,901,1,112,440,0,31,41,194,254,717,337,224,106,12
2003,43,120,1810,197,11,953,3,169,644,0,57,39,251,341,745,454,294,169,14
2003,44,69,1453,154,4,760,2,164,474,0,43,50,179,175,603,381,245,127,11
2003,45,97,978,86,34,244,10,56,310,0,383,26,98,253,366,204,172,112,3
2003,46,110,2020,130,8,902,1,257,816,0,44,30,202,321,905,515,251,114,19
2003,47,139,2142,309,6,1658,1,84,313,0,105,75,348,423,1019,519,293,149,29
2003,48,49,1108,160,4,433,1,121,476,0,59,24,199,190,559,306,121,50,15
2003,49,61,1419,92,26,648,5,131,405,0,205,17,135,298,646,321,153,75,7
2003,50,80,1622,127,31,544,0,193,723,0,217,25,96,268,857,373,162,95,12
2003,52,92,1388,129,7,474,0,163,627,0,111,55,172,275,618,330,197,96,12
2003,60,164,2394,157,23,1093,2,103,513,0,705,65,211,462,1002,566,397,163,31
2003,61,79,1400,99,33,445,1,25,199,0,745,45,85,443,566,270,142,63,7
2003,62,39,514,31,7,74,4,11,138,0,305,12,33,165,205,110,42,43,5
2003,63,55,1541,116,5,1087,1,23,129,0,300,46,121,440,818,268,89,41,13
2003,66,103,1933,194,119,287,27,93,754,0,654,58,238,451,920,464,207,98,19
2003,67,208,3816,389,8,3502,3,56,184,0,74,129,457,529,1778,1085,462,291,39
2003,68,82,880,66,30,69,2,29,224,0,553,28,93,202,368,175,85,54,26
2003,69,69,1244,111,10,1079,0,25,95,0,65,22,128,292,561,273,135,59,21
