YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2015,1,3,42,0,2,31,0,0,6,0,6,0,0,2,11,9,13,8,1,4579,1972,2607,43738,21422,22316,169,653,2058,1754,102,409,919,733,67,244,1139,1021,702,724,2160,3152,19234,227,340,850,1570,9926,475,384,1310,1582,9308
2015,5,14,171,2,8,80,0,14,51,1,28,0,5,14,57,58,22,30,5,4758,2377,2381,32183,16886,15297,548,576,1825,1666,327,196,922,720,221,380,903,946,6303,2850,5677,2329,9921,2566,1486,3188,1086,5872,3737,1364,2489,1243,4049
2015,6,0,27,0,1,16,0,2,2,0,6,0,0,2,9,3,7,4,2,4403,1783,2620,47690,24065,23625,77,719,1955,1867,56,408,765,725,21,311,1190,1142,266,380,2562,3211,21001,118,281,1465,1870,10110,148,99,1097,1341,10891
2015,7,11,154,0,3,67,0,12,68,0,13,0,2,31,57,40,18,15,3,4902,2425,2477,48927,22268,26659,593,504,2172,850,297,237,961,392,296,267,1211,458,11279,5298,10396,4898,9533,4703,2610,4545,2439,4698,6576,2688,5851,2459,4835
2015,9,23,238,0,9,105,0,20,101,1,25,0,0,23,85,67,38,45,0,12735,5329,7406,58596,28507,30089,330,1177,6524,3458,165,696,2578,1641,165,481,3946,1817,4707,3060,7863,5722,21754,1893,1486,3625,3350,10720,2814,1574,4238,2372,11034
2015,10,14,98,0,0,55,0,7,32,0,18,0,0,12,44,25,21,10,0,4865,2050,2815,38018,19913,18105,80,2423,2093,1615,47,945,850,695,33,1478,1243,920,1215,1125,3467,3334,15219,446,551,1785,1983,8862,769,574,1682,1351,6357
2015,13,28,303,0,15,160,0,19,63,2,71,0,1,22,72,86,66,78,7,14996,5337,9659,78983,39221,39762,358,1077,6165,6786,281,458,1498,2702,77,619,4667,4084,1776,1639,4969,6915,32849,709,1105,2965,3628,15897,1067,534,2004,3287,16952
2015,14,29,280,2,9,166,3,14,71,4,43,0,1,25,79,77,63,66,1,1930,784,1146,18305,9518,8787,81,1482,467,1169,40,755,78,564,41,727,389,605,455,816,1879,1737,6941,211,531,997,849,3545,244,285,882,888,3396
2015,17,17,104,0,5,62,0,6,19,2,27,0,0,8,40,28,22,19,2,5025,1702,3323,54077,24268,29809,51,213,1199,3415,42,102,256,1255,9,111,943,2160,231,575,2817,4553,23849,9,263,1367,1712,10727,222,312,1450,2841,13122
2015,18,8,92,0,6,59,2,1,21,1,10,0,0,3,19,46,17,12,1,5331,2603,2728,54047,28582,25465,331,360,1866,2491,241,149,716,1387,90,211,1150,1104,1391,1418,4658,5164,21326,519,652,2444,2657,11209,872,766,2214,2507,10117
